analysis_type,comparison,seniority_def,n_group1,n_group2,MDE_binary,MDE_continuous,verdict
junior,arshkon_vs_scraped,J1,175,1275,0.112923,0.225847,thin
junior,pooled_2024_vs_scraped,J1,379,1275,0.081953,0.163907,thin
junior,arshkon_vs_scraped,J2,190,1327,0.108656,0.217312,thin
junior,pooled_2024_vs_scraped,J2,418,1327,0.078568,0.157137,adequate
junior,arshkon_vs_scraped,J3,436,4742,0.070102,0.140204,adequate
junior,pooled_2024_vs_scraped,J3,1766,4742,0.03905,0.0781,well-powered
junior,arshkon_vs_scraped,J4,907,9307,0.048726,0.097453,well-powered
junior,pooled_2024_vs_scraped,J4,4035,9307,0.026403,0.052807,well-powered
senior,arshkon_senior_vs_scraped_senior,S1,2077,17713,0.032489,0.064977,well-powered
senior,pooled_2024_senior_vs_scraped_senior,S1,13595,17713,0.015972,0.031944,well-powered
senior,arshkon_senior_vs_scraped_senior,S2,13,295,0.396978,0.793956,underpowered
senior,pooled_2024_senior_vs_scraped_senior,S2,105,295,0.159184,0.318367,underpowered
senior,arshkon_senior_vs_scraped_senior,S3,82,150,0.192382,0.384765,underpowered
senior,pooled_2024_senior_vs_scraped_senior,S3,446,150,0.132216,0.264432,thin
senior,arshkon_senior_vs_scraped_senior,S4,1751,15938,0.035267,0.070534,well-powered
senior,pooled_2024_senior_vs_scraped_senior,S4,10279,15938,0.01772,0.035441,well-powered
all_swe,arshkon_vs_scraped,N/A,4691,40881,0.021594,0.043188,well-powered
all_swe,pooled_2024_vs_scraped,N/A,22820,40881,0.011575,0.02315,well-powered
