state,n_all_linkedin_swe,n_scraped_2026,n_arshkon,n_asaniczka
CA,11207,8056,562,2589
TX,5893,4245,430,1218
NY,3686,2681,235,770
WA,3308,2502,179,627
VA,3289,2067,215,1007
MA,2523,1733,115,675
MD,2491,1459,74,958
NC,2473,1853,140,480
NJ,2151,1409,148,594
IL,2012,1225,156,631
GA,1937,1255,150,532
PA,1721,1032,126,563
FL,1665,753,135,777
CO,1567,989,81,497
AZ,1263,837,85,341
MI,1213,697,85,431
OH,1129,553,104,472
MN,978,690,59,229
DC,662,438,30,194
TN,448,252,23,173
CT,362,100,27,235
DE,352,236,15,101
NH,346,228,17,101
OR,302,176,12,114
MO,271,10,26,235
UT,269,0,17,252
WI,261,7,45,209
IN,229,9,31,189
AL,208,0,17,191
IA,190,0,15,175
RI,163,80,10,73
SC,156,28,10,118
AR,142,0,13,129
KS,117,20,17,80
NV,106,0,19,87
OK,103,0,10,93
NE,82,0,11,71
NM,73,0,11,62
KY,71,0,14,57
LA,60,0,4,56
ME,54,0,11,43
ID,45,0,13,32
MS,43,0,6,37
HI,32,0,0,32
WV,27,4,6,17
MT,16,0,3,13
SD,14,0,0,14
VT,12,0,0,12
AK,8,0,1,7
ND,8,0,3,5
WY,2,0,0,2
