source,min_date_posted,max_date_posted,n_default_linkedin_swe
kaggle_arshkon,2024-04-05,2024-04-20,4691
kaggle_asaniczka,2024-01-12,2024-01-17,18129
scraped,2026-03-19,2026-04-13,40881
