size_q,n,mean_size,min_size,max_size,n_with_yoe,n_j3,n_ai,mean_desc,j3_share_labeled,ai_strict_share
1,1162,35.66437177280551,0.0,92.0,751,80.0,37.0,2223.171256454389,0.10652463382157124,0.031841652323580036
2,1162,281.82616179001724,92.0,669.0,850,96.0,28.0,2599.9655765920825,0.11294117647058824,0.024096385542168676
3,1161,3118.0258397932816,671.0,9287.0,880,113.0,42.0,3760.5813953488373,0.12840909090909092,0.03617571059431524
4,1161,110725.91817398794,9287.0,748312.0,948,157.0,58.0,4685.66752799311,0.16561181434599156,0.04995693367786391
