source,period,seniority_final_source,n,total,share
kaggle_arshkon,2024-04,llm,4687,4691,0.9991473033468343
kaggle_arshkon,2024-04,title_keyword,1,4691,0.00021317416329140907
kaggle_arshkon,2024-04,unknown,3,4691,0.0006395224898742272
kaggle_asaniczka,2024-01,llm,18124,18129,0.9997241987975067
kaggle_asaniczka,2024-01,title_keyword,1,18129,5.516024049864857e-05
kaggle_asaniczka,2024-01,unknown,4,18129,0.00022064096199459428
scraped,2026-03,llm,11808,19740,0.5981762917933131
scraped,2026-03,title_keyword,3329,19740,0.16864235055724416
scraped,2026-03,unknown,4603,19740,0.23318135764944276
scraped,2026-04,llm,14008,25577,0.5476795558509598
scraped,2026-04,title_keyword,4845,25577,0.18942800172029559
scraped,2026-04,title_manager,1,25577,3.909762677405481e-05
scraped,2026-04,unknown,6723,25577,0.26285334480197053
