source,period,n_total,n_labeled,mean_llm,median_llm,sd_llm,n_yoe_le2,n_yoe_ge5,j3_share_labeled,s4_share_labeled
kaggle_arshkon,2024-04,4691,3454,5.484076433121019,5.0,2.801814821020335,449.0,2246.0,0.129994209612044,0.6502605674580196
kaggle_asaniczka,2024-01,18129,14765,6.052150355570606,5.0,3.1283810669181125,1218.0,10648.0,0.08249238062986793,0.7211649170335253
scraped,2026-03,19740,9371,5.341372318856045,5.0,2.858844800170156,1356.0,5950.0,0.14470173940881442,0.6349375733646356
scraped,2026-04,25577,11140,5.361759425493716,5.0,2.881570440122527,1555.0,7009.0,0.1395870736086176,0.6291741472172352
