source,period,swe_classification_tier,n,total,share
kaggle_arshkon,2024-04,embedding_high,77,4691,0.0164144105734385
kaggle_arshkon,2024-04,regex,4158,4691,0.886378170965679
kaggle_arshkon,2024-04,title_lookup_llm,456,4691,0.09720741846088254
kaggle_asaniczka,2024-01,embedding_high,386,18129,0.02129185283247835
kaggle_asaniczka,2024-01,regex,15775,18129,0.8701527938661813
kaggle_asaniczka,2024-01,title_lookup_llm,1968,18129,0.10855535330134039
scraped,2026-03,embedding_high,291,19740,0.014741641337386018
scraped,2026-03,regex,18431,19740,0.9336879432624113
scraped,2026-03,title_lookup_llm,1018,19740,0.051570415400202636
scraped,2026-04,embedding_high,383,25577,0.014974391054462993
scraped,2026-04,regex,23809,25577,0.9308753958634711
scraped,2026-04,title_lookup_llm,1385,25577,0.05415021308206592
