source,period,n,n_ext_labeled,n_cls_labeled,n_cls_notsel,n_cls_deferred,n_cls_short
kaggle_arshkon,2024-04,4691,4687.0,4687.0,4.0,0.0,0.0
kaggle_asaniczka,2024-01,18129,18109.0,18124.0,4.0,1.0,0.0
scraped,2026-03,19740,11738.0,11808.0,7930.0,2.0,0.0
scraped,2026-04,25577,13918.0,14008.0,11564.0,5.0,0.0
