tag,metric,min_n,n_cos,aggregate_24,aggregate_26,aggregate_delta_pp,within_co_mean_pp,within_co_weighted_pp,between_co_residual_pp
pooled_min1,j1,1,2109,0.018679764828458734,0.034701327877402016,1.6021563048943284,1.3140668880086168,1.4803303430528167,0.12182596184151154
pooled_min1,j2,1,2109,0.020986827416834115,0.038271753520279214,1.72849261034451,1.309535408611222,1.6464291771084543,0.08206343323605564
pooled_min1,j3,1,1423,0.09129433440810686,0.15300261096605744,6.170827655795058,1.6762335953257788,4.228622418037788,1.9422052377572698
pooled_min1,j4,1,1423,0.20893597420543528,0.293733681462141,8.479770725670575,2.8767036636145167,6.110796450983448,2.3689742746871265
pooled_min3,j1,3,609,0.01692746776892038,0.035870039249890975,1.8942571480970596,1.6479725702162946,1.1275492417418704,0.7667079063551889
pooled_min3,j2,3,609,0.01909260899517764,0.039195377235063236,2.01027682398856,1.7552832525267872,1.321995922403528,0.6882809015850317
pooled_min3,j3,3,563,0.0859073359073359,0.16757267785393523,8.166534194659933,3.4658409890642785,5.113589855070232,3.0529443395897014
pooled_min3,j4,3,563,0.2006515444015444,0.3096194753013472,10.89679308998028,4.872271754586817,6.369094091695569,4.527698998284711
pooled_min5,j1,5,356,0.016865079365079364,0.03423743886171632,1.7372359496636953,1.1515574496877876,1.0407120951605613,0.6965238545031341
pooled_min5,j2,5,356,0.019345238095238096,0.03773105507209554,1.838581697685744,1.2525935269773802,1.2933526815691296,0.5452290161166145
pooled_min5,j3,5,346,0.08996168582375479,0.16897206400867915,7.901037818492436,3.5175947911798344,5.050550139654558,2.8504876788378786
pooled_min5,j4,5,346,0.20950191570881227,0.31095741795497694,10.145550224616468,5.284159772229808,6.454301444725687,3.6912487798907807
arshkon_min5,j1,5,125,0.03186097031136857,0.032468183184687846,0.06072128733192739,-0.09618116076003934,-0.4800357375546945,0.5407570248866219
arshkon_min5,j2,5,125,0.03548153511947864,0.03567491732638541,0.019338220690677532,-0.05602203947714403,-0.5105746490599317,0.5299128697506093
arshkon_min5,j3,5,121,0.11961722488038277,0.16977138018628282,5.015415530590005,0.33008473386942006,-0.032124399570175585,5.04753993016018
arshkon_min5,j4,5,121,0.24401913875598086,0.31752751905165116,7.350838029567031,1.3296564957014252,0.17679753693292546,7.174040492634106
asaniczka_min5,j1,5,254,0.01128486216346929,0.029825193728599746,1.8540331565130457,1.9472530226870752,1.5912079518074957,0.26282520470554993
asaniczka_min5,j2,5,254,0.013703046912784136,0.0333393404216976,1.9636293508913467,2.09223389547,1.9053103502370046,0.05831900065434194
asaniczka_min5,j3,5,247,0.08128654970760234,0.16826923076923078,8.698268106162844,5.781435125673752,6.433598717761274,2.2646693884015705
asaniczka_min5,j4,5,247,0.19922027290448344,0.3080769230769231,10.885665017243964,7.946837436973866,7.987652500947186,2.8980125162967787
pooled_min10,j1,10,160,0.016016171668480798,0.03386096605744125,1.7844794388960454,0.6370455969457017,0.9529177424863077,0.8315616964097378
pooled_min10,j2,10,160,0.018504120665526355,0.03712467362924282,1.8620552963716466,0.7615857928134256,1.2152729397350495,0.6467823566365971
pooled_min10,j3,10,159,0.09046177138531415,0.16941580756013747,7.895403617482331,3.9272370915872585,5.201200400235296,2.6942032172470354
pooled_min10,j4,10,159,0.21404239212717638,0.3199312714776632,10.588887935048682,5.42534949930012,6.836074350392842,3.7528135846558413
