state_normalized,n_2024,n_2026,share_2024,share_2026,delta_pp
CA,3151.0,8799.0,0.15664147941936768,0.2225791763634524,6.593769694408472
TX,1648.0,4754.0,0.08192483595148141,0.12025700698168572,3.8332171030204307
NY,1005.0,2926.0,0.049960230662159474,0.07401598704846707,2.4055756386307596
WA,806.0,2761.0,0.04006760787432889,0.0698421531923505,2.977454531802161
VA,1222.0,2316.0,0.06074766355140187,0.05858544976221795,-0.21622137891839158
NC,620.0,2116.0,0.03082123682640684,0.053526257209349386,2.2705020382942545
MA,790.0,1932.0,0.039272221117518394,0.04887180006071031,0.9599578943191918
MD,1032.0,1625.0,0.05130244581427719,0.04110593949205707,-1.019650632222012
NJ,742.0,1546.0,0.0368860608470869,0.039107558433673986,0.22214975865870873
IL,787.0,1374.0,0.039123086100616426,0.034756652838207024,-0.43664332624094027
GA,682.0,1372.0,0.03390336050904753,0.03470606091267834,0.08027004036308127
PA,689.0,1173.0,0.034251342215152115,0.029672164322574118,-0.4579177892577998
CO,578.0,1093.0,0.02873334658977928,0.027648487301426692,-0.10848592883525889
AZ,426.0,946.0,0.02117717240007954,0.023929980775068298,0.2752808374988758
FL,912.0,842.0,0.04533704513819845,0.021299200647576646,-2.4037844490621807
MI,516.0,807.0,0.025651222907138595,0.020413841950824647,-0.5237380956313948
MN,288.0,775.0,0.014316961622588983,0.019604371142365677,0.5287409519776693
OH,576.0,616.0,0.028633923245177967,0.015582313062835172,-1.3051610182342794
DC,224.0,490.0,0.011135414595346987,0.012395021754527977,0.12596071591809907
TN,196.0,279.0,0.009743487770928615,0.007057573611251644,-0.2685914159676971
