pc,n,short,short_med,medium,long,very_long,extreme,short_share,short_med_share,medium_share,long_share,very_long_share,extreme_share
2024,22820,570.0,4749.0,7718.0,8174.0,1600.0,9.0,0.02497808939526731,0.20810692375109552,0.33821209465381247,0.3581945661700263,0.07011393514460999,0.0003943908851884312
2026,45317,274.0,5226.0,11216.0,20277.0,8292.0,32.0,0.006046296091974314,0.11532096122867798,0.24750093783789748,0.44744797758015753,0.18297769049142706,0.0007061367698656133
