pc,bucket,n_total,n_labeled,n_j3,n_j1,j3_share_labeled,j1_share_all
2024,entry_specialist,970,723,171.0,52.0,0.23651452282157676,0.05360824742268041
2024,other,21850,17496,1496.0,363.0,0.08550525834476452,0.016613272311212814
2026,entry_specialist,2808,1219,318.0,285.0,0.2608695652173913,0.1014957264957265
2026,other,42509,19292,2593.0,1365.0,0.13440804478540327,0.03211084711472865
