period_coarse,company_industry,n,share
2024,IT Services and IT Consulting,1202,0.3441168050386487
2024,Software Development,611,0.17492127111365588
2024,Financial Services,391,0.11193816203836245
2024,Staffing and Recruiting,271,0.0775837389063842
2024,Information Services,150,0.0429430289149728
2024,Information Technology & Services,126,0.036072144288577156
2024,Defense and Space Manufacturing,122,0.03492699685084455
2024,"Technology, Information and Internet",106,0.030346407099914114
2024,Banking,92,0.026338391067849985
2024,"Technology, Information and Media",84,0.02404809619238477
2024,Hospitals and Health Care,80,0.022902948754652163
2024,Retail,69,0.01975379330088749
2024,Business Consulting and Services,63,0.018036072144288578
2024,Insurance,63,0.018036072144288578
2024,Motor Vehicle Manufacturing,63,0.018036072144288578
2026,Software Development,11875,0.38250926075052344
2026,IT Services and IT Consulting,5729,0.18453857303913673
2026,Financial Services,3156,0.10165888226767596
2026,"Technology, Information and Internet",2232,0.07189563536801417
2026,Defense and Space Manufacturing,1741,0.05607988403929779
2026,Staffing and Recruiting,1219,0.039265582219358997
2026,Business Consulting and Services,827,0.026638750201320664
2026,"Information Services and Technology, Information and Internet",817,0.02631663713963601
2026,Hospitals and Health Care,649,0.02090513770333387
2026,Semiconductor Manufacturing,606,0.019520051538089868
2026,Aviation and Aerospace Component Manufacturing,524,0.01687872443227573
2026,Retail,507,0.01633113222741182
2026,Entertainment Providers,395,0.012723465936543726
2026,Insurance,390,0.012562409405701401
2026,"Technology, Information and Media",378,0.01217587373167982
