source,period,n,n_remote,n_multi,share_remote,share_multi
kaggle_arshkon,2024-04,4691,0.0,116.0,0.0,0.024728202941803452
kaggle_asaniczka,2024-01,18129,0.0,894.0,0.0,0.049313255005791826
scraped,2026-03,19740,0.0,1627.0,0.0,0.08242147922998987
scraped,2026-04,25577,0.0,1717.0,0.0,0.06713062517105212
