pc,bin,n,ai,rate
2024,1,2280,12,0.005263157894736842
2024,2,2280,19,0.008333333333333333
2024,3,2286,29,0.01268591426071741
2024,4,2279,26,0.011408512505484861
2024,5,2285,43,0.018818380743982493
2024,6,2282,35,0.015337423312883436
2024,7,2280,27,0.011842105263157895
2024,8,2284,50,0.021891418563922942
2024,9,2281,44,0.019289785181937746
2024,10,2283,53,0.023215067893123085
2026,1,1727,194,0.1123335263462652
2026,2,2658,417,0.15688487584650113
2026,3,3296,544,0.1650485436893204
2026,4,3080,513,0.16655844155844157
2026,5,3387,593,0.17508119279598464
2026,6,3731,606,0.1624229429107478
2026,7,4447,709,0.15943332583764336
2026,8,5359,937,0.1748460533681657
2026,9,6772,1286,0.18989958653278205
2026,10,10848,2424,0.2234513274336283
2026,11,12,3,0.25
