source_platform,period_coarse,n,n_with_rule_yoe,n_rule_j3,n_rule_s4,rule_j3_labeled_share,rule_s4_labeled_share
indeed,2026,14245,9992,1830.0,5509.0,0.183146517213771,0.5513410728582866
linkedin,2024,22820,15745,1766.0,10279.0,0.11216259129882503,0.6528421721181328
linkedin,2026,45317,30471,5227.0,17573.0,0.17154015293229627,0.5767122838108365
