source,period,seniority_final,n,total,share
kaggle_arshkon,2024-04,associate,15,4691,0.003197612449371136
kaggle_arshkon,2024-04,director,17,4691,0.0036239607759539546
kaggle_arshkon,2024-04,entry,177,4691,0.03773182690257941
kaggle_arshkon,2024-04,mid-senior,2014,4691,0.4293327648688979
kaggle_arshkon,2024-04,unknown,2468,4691,0.5261138350031976
kaggle_asaniczka,2024-01,associate,39,18129,0.0021512493794472944
kaggle_asaniczka,2024-01,director,74,18129,0.004081857796899994
kaggle_asaniczka,2024-01,entry,238,18129,0.01312813723867836
kaggle_asaniczka,2024-01,mid-senior,11560,18129,0.6376523801643775
kaggle_asaniczka,2024-01,unknown,6218,18129,0.34298637542059685
scraped,2026-03,associate,52,19740,0.0026342451874366768
scraped,2026-03,director,154,19740,0.007801418439716312
scraped,2026-03,entry,847,19740,0.042907801418439716
scraped,2026-03,mid-senior,8655,19740,0.43844984802431614
scraped,2026-03,unknown,10032,19740,0.5082066869300912
scraped,2026-04,associate,69,25577,0.0026977362474097824
scraped,2026-04,director,171,25577,0.006685694178363373
scraped,2026-04,entry,803,25577,0.03139539429956602
scraped,2026-04,mid-senior,11048,25577,0.4319505805997576
scraped,2026-04,unknown,13486,25577,0.5272705946749032
