family,pc,n,n_lab,j3_share_labeled,s4_share_labeled
swe_generic,2024,11670,9303,0.08642373427926475,0.7247124583467699
swe_generic,2026,24305,11181,0.15910920311242285,0.6353635631875503
senior_swe_title,2024,2968,2519,0.04327113934100834,0.7479158396188964
senior_swe_title,2026,4980,2602,0.02536510376633359,0.7701767870868562
data_engineer,2024,1310,1030,0.09320388349514563,0.6951456310679611
data_engineer,2026,3481,1511,0.09463931171409662,0.6644606221045665
ml_engineer,2024,381,264,0.0946969696969697,0.6174242424242424
ml_engineer,2026,3193,1290,0.14651162790697675,0.5674418604651162
sre_devops,2024,1315,1003,0.07477567298105683,0.7337986041874377
sre_devops,2026,3600,1605,0.08473520249221184,0.6928348909657321
fullstack,2024,1610,1312,0.05945121951219512,0.7324695121951219
fullstack,2026,4433,1993,0.09683893627696939,0.6999498243853487
frontend,2024,476,370,0.12702702702702703,0.6351351351351351
frontend,2026,963,421,0.14014251781472684,0.6270783847980997
backend,2024,660,571,0.06129597197898424,0.7373029772329247
backend,2026,1611,720,0.12361111111111112,0.6625
