source,period,n,labeled,extracted,aggregators,labeled_pct,aggregator_pct
kaggle_arshkon,2024-04,4691,4687.0,4687.0,430.0,0.9991473033468343,0.09166489021530591
kaggle_asaniczka,2024-01,18129,18124.0,18109.0,2943.0,0.9997241987975067,0.16233658778752275
scraped,2026-03,19740,11808.0,11738.0,3316.0,0.5981762917933131,0.167983789260385
scraped,2026-04,25577,14008.0,13918.0,4392.0,0.5476795558509598,0.17171677679164873
