pc,n_total,n_lab,n_j3,n_s4,n_j1,n_j2,n_cos,tag,min_n
2024,13437,10855,991.0,7675.0,251.0,282.0,2109,pooled_min1,1
2026,24927,11490,1758.0,7171.0,865.0,954.0,2109,pooled_min1,1
2024,10161,8288,712.0,5934.0,172.0,194.0,609,pooled_min3,3
2026,18344,8462,1418.0,5182.0,658.0,719.0,609,pooled_min3,3
2024,8064,6525,587.0,4580.0,136.0,156.0,356,pooled_min5,5
2026,15743,7374,1246.0,4492.0,539.0,594.0,356,pooled_min5,5
2024,1381,1045,125.0,714.0,44.0,49.0,125,arshkon_min5,5
2026,9979,4724,802.0,2806.0,324.0,356.0,125,arshkon_min5,5
2024,6203,5130,417.0,3637.0,70.0,85.0,254,asaniczka_min5,5
2026,11098,5200,875.0,3185.0,331.0,370.0,254,asaniczka_min5,5
2024,6431,5284,478.0,3678.0,103.0,119.0,160,pooled_min10,10
2026,12256,5820,986.0,3499.0,415.0,455.0,160,pooled_min10,10
