pc,n,n_lab,n_j1,n_j2,n_j3,n_j4,j1,j2,j3,j4
2024,13437,10855,251.0,282.0,991.0,2268.0,0.018679764828458734,0.020986827416834115,0.09129433440810686,0.20893597420543528
2026,24927,11490,865.0,954.0,1758.0,3375.0,0.034701327877402016,0.038271753520279214,0.15300261096605744,0.293733681462141
