source,period,n,mean,sd,p10,median,p90,p99,max
kaggle_arshkon,2024-04,4691,3305.6418674056704,2142.635820214822,816.0,2974.0,6218.0,9156.2,15768.0
kaggle_asaniczka,2024-01,18129,3881.4461911853937,2078.513776175012,1255.0,3733.0,6580.0,9513.24000000002,18817.0
scraped,2026-03,19740,4975.147011144883,2341.8195127494387,1909.0,4915.5,8002.0,10899.100000000006,23658.0
scraped,2026-04,25577,4830.227860968839,2364.0923929227115,1761.6000000000004,4773.0,7875.0,10852.159999999982,23161.0
