period_coarse,llm_extraction_coverage,n,ai_strict_share
2024,deferred,16,0.0
2024,labeled,22796,0.01482716266011581
2024,skipped_short,8,0.0
2026,deferred,172,0.22093023255813954
2026,labeled,25656,0.18085438104147178
2026,not_selected,19487,0.18207009801406066
2026,skipped_short,2,0.0
