source,period,ghost_assessment_llm,n,total,share
kaggle_arshkon,2024-04,ghost_likely,18,4687,0.0038404096436953274
kaggle_arshkon,2024-04,inflated,336,4687,0.07168764668231278
kaggle_arshkon,2024-04,realistic,4333,4687,0.9244719436739919
kaggle_asaniczka,2024-01,ghost_likely,38,18124,0.0020966674023394395
kaggle_asaniczka,2024-01,inflated,1063,18124,0.058651511807548004
kaggle_asaniczka,2024-01,realistic,17023,18124,0.9392518207901126
scraped,2026-03,ghost_likely,27,11808,0.0022865853658536584
scraped,2026-03,inflated,576,11808,0.04878048780487805
scraped,2026-03,realistic,11205,11808,0.9489329268292683
scraped,2026-04,ghost_likely,20,14008,0.0014277555682467161
scraped,2026-04,inflated,780,14008,0.05568246716162193
scraped,2026-04,realistic,13208,14008,0.9428897772701313
