pc,n_total,n_labeled,n_j3,n_s4,j3_share_labeled,s4_share_labeled
2024,13437,10855,991.0,7675.0,0.09129433440810686,0.7070474435743896
2026,24927,11490,1758.0,7171.0,0.15300261096605744,0.6241079199303743
