source,period,seniority_native,n,total,share
kaggle_arshkon,2024-04,associate,263,4691,0.05606480494564059
kaggle_arshkon,2024-04,director,20,4691,0.004263483265828182
kaggle_arshkon,2024-04,entry,738,4691,0.1573225325090599
kaggle_arshkon,2024-04,executive,11,4691,0.0023449157962055
kaggle_arshkon,2024-04,intern,20,4691,0.004263483265828182
kaggle_arshkon,2024-04,mid-senior,2231,4691,0.47559155830313365
kaggle_arshkon,2024-04,,1408,4691,0.300149221914304
kaggle_asaniczka,2024-01,associate,1820,18129,0.10039163770754041
kaggle_asaniczka,2024-01,mid-senior,16309,18129,0.8996083622924596
scraped,2026-03,associate,665,19740,0.03368794326241135
scraped,2026-03,director,150,19740,0.007598784194528876
scraped,2026-03,entry,2262,19740,0.11458966565349545
scraped,2026-03,executive,37,19740,0.0018743667679837893
scraped,2026-03,intern,393,19740,0.019908814589665653
scraped,2026-03,mid-senior,13214,19740,0.6694022289766971
scraped,2026-03,,3019,19740,0.15293819655521784
scraped,2026-04,associate,917,25577,0.035852523751808266
scraped,2026-04,director,162,25577,0.00633381553739688
scraped,2026-04,entry,2985,25577,0.11670641592055363
scraped,2026-04,executive,41,25577,0.0016030026977362473
scraped,2026-04,intern,287,25577,0.011221018884153732
scraped,2026-04,mid-senior,17546,25577,0.6860069593775657
scraped,2026-04,,3639,25577,0.14227626383078548
