source,period,ghost_job_risk,n,total,share
kaggle_arshkon,2024-04,high,3,4691,0.0006395224898742272
kaggle_arshkon,2024-04,low,4684,4691,0.9985077808569601
kaggle_arshkon,2024-04,medium,4,4691,0.0008526966531656363
kaggle_asaniczka,2024-01,high,8,18129,0.00044128192398918857
kaggle_asaniczka,2024-01,low,18104,18129,0.9986209939875338
kaggle_asaniczka,2024-01,medium,17,18129,0.0009377240884770258
scraped,2026-03,high,7,19740,0.0003546099290780142
scraped,2026-03,low,19720,19740,0.9989868287740629
scraped,2026-03,medium,13,19740,0.0006585612968591692
scraped,2026-04,high,7,25577,0.0002736833874183837
scraped,2026-04,low,25554,25577,0.9991007545841968
scraped,2026-04,medium,16,25577,0.000625562028384877
