source,n,raw_ai_tool_share,raw_scope_any_share,raw_text_median_len
kaggle_arshkon,4691,0.028565337881048817,0.3945853762523982,2974.0
kaggle_asaniczka,18129,0.022781179325941862,0.3891554967179657,3733.0
scraped,37152,0.23016257536606374,0.5952573212747632,4891.0
