metric,agg_2024,agg_2026,total_change,overlap_within_change,overlap_within_weighted,overlap_share_2024,overlap_share_2026,exit_mean,enter_mean,n_overlap_2024,n_overlap_2026,n_exit,n_enter
Entry share,0.03400396712949844,0.1350902676903922,0.10108630056089377,0.10017666832268693,0.04380254142914693,0.4490648909039388,0.4254409628553642,0.03253182461103253,0.13442646633920832,12678,10251,15554,13844
AI prevalence,0.029186738452819494,0.238970740817597,0.2097840023647775,0.1986414770611185,0.08685656724467122,0.4490648909039388,0.4254409628553642,0.02500964382152501,0.24342675527304247,12678,10251,15554,13844
Description length,2703.650928024936,4313.838182195476,1610.1872541705402,1744.9723131602177,762.994251253261,0.4490648909039388,0.4254409628553642,2659.562749132056,4173.983097370702,12678,10251,15554,13844
