period,swe_classification_tier,n,avg_confidence
2024-01,regex,15775,1.0
2024-01,title_lookup_llm,1968,0.9000000000000017
2024-01,embedding_high,386,0.89612587390786
2024-04,regex,4158,1.0
2024-04,title_lookup_llm,456,0.9000000000000032
2024-04,embedding_high,77,0.8824231082742865
2026-03,regex,18468,1.0
2026-03,title_lookup_llm,1018,0.8999999999999971
2026-03,embedding_high,291,0.896937165268508
2026-04,regex,19663,1.0
2026-04,title_lookup_llm,1141,0.8999999999999957
2026-04,embedding_high,300,0.8920964509248733
