source,n_swe,n_adjacent,n_control,n_other,n_total
scraped,40881.0,11592.0,41790.0,159363.0,253626
kaggle_arshkon,4691.0,2396.0,8614.0,94659.0,110360
kaggle_asaniczka,18129.0,9420.0,105341.0,714636.0,847526
