period,company_industry,n,share
2024-04,IT Services and IT Consulting,1202,0.3441168050386487
2024-04,Software Development,611,0.17492127111365588
2024-04,Financial Services,391,0.11193816203836245
2024-04,Staffing and Recruiting,271,0.0775837389063842
2024-04,Information Services,150,0.0429430289149728
2024-04,Information Technology & Services,126,0.036072144288577156
2024-04,Defense and Space Manufacturing,122,0.03492699685084455
2024-04,"Technology, Information and Internet",106,0.030346407099914114
2024-04,Banking,92,0.026338391067849985
2024-04,"Technology, Information and Media",84,0.02404809619238477
2024-04,Hospitals and Health Care,80,0.022902948754652163
2024-04,Retail,69,0.01975379330088749
2024-04,Business Consulting and Services,63,0.018036072144288578
2024-04,Insurance,63,0.018036072144288578
2024-04,Motor Vehicle Manufacturing,63,0.018036072144288578
2026-03,Software Development,5060,0.37235999705644274
2026-03,IT Services and IT Consulting,2470,0.18176466259474575
2026-03,Financial Services,1518,0.11170799911693281
2026-03,"Technology, Information and Internet",929,0.06836411803664728
2026-03,Defense and Space Manufacturing,765,0.056295533151813966
2026-03,Staffing and Recruiting,537,0.039517256604606664
2026-03,"Information Services and Technology, Information and Internet",384,0.028258149974243873
2026-03,Business Consulting and Services,355,0.026124070939730664
2026-03,Hospitals and Health Care,281,0.020678489955110752
2026-03,Semiconductor Manufacturing,276,0.020310545293987785
2026-03,Entertainment Providers,237,0.01744057693722864
2026-03,Aviation and Aerospace Component Manufacturing,219,0.01611597615718596
2026-03,Internet Publishing,188,0.013834719258223563
2026-03,Retail,185,0.013613952461549783
2026-03,Insurance,185,0.013613952461549783
2026-04,Software Development,4592,0.3863693731594447
2026-04,IT Services and IT Consulting,2078,0.17484223811527136
2026-04,Financial Services,1215,0.10222970130416491
2026-04,"Technology, Information and Internet",828,0.06966764829617164
2026-04,Defense and Space Manufacturing,693,0.058308792595708876
2026-04,Staffing and Recruiting,438,0.03685317627261254
2026-04,"Information Services and Technology, Information and Internet",320,0.026924694993689526
2026-04,Retail,272,0.022885990744636094
2026-04,Business Consulting and Services,267,0.022465292385359697
2026-04,Hospitals and Health Care,248,0.02086663862010938
2026-04,Semiconductor Manufacturing,245,0.020614219604543543
2026-04,Aviation and Aerospace Component Manufacturing,240,0.020193521245267142
2026-04,Civil Engineering,158,0.013294068153134202
2026-04,Information Technology & Services,148,0.012452671434581406
2026-04,Insurance,143,0.012031973075305007
