scrape_date,n,median,p25,p75,le7,le14,ge30
2026-03-20,2454,1.0,1.0,1.0,0.016707416462917686,0.016707416462917686,0.0
2026-03-21,1166,1.0,1.0,1.0,0.002572898799313894,0.002572898799313894,0.0
2026-03-22,948,1.0,1.0,1.0,0.013713080168776372,0.013713080168776372,0.0
2026-03-23,614,1.0,1.0,1.0,0.004885993485342019,0.004885993485342019,0.0
2026-03-24,2164,1.0,1.0,1.0,0.0046210720887245845,0.0046210720887245845,0.0
2026-03-25,2311,1.0,1.0,1.0,0.0038944180008654264,0.0038944180008654264,0.0
2026-03-26,2253,1.0,1.0,1.0,0.007989347536617843,0.007989347536617843,0.0
2026-03-27,2197,1.0,1.0,1.0,0.008192990441511151,0.008192990441511151,0.0
2026-03-28,1966,1.0,1.0,1.0,0.005595116988809766,0.005595116988809766,0.0
2026-03-29,825,1.0,1.0,1.0,0.01818181818181818,0.01818181818181818,0.0
2026-03-30,782,1.0,1.0,1.0,0.0025575447570332483,0.0025575447570332483,0.0
2026-03-31,2116,1.0,1.0,1.0,0.002835538752362949,0.002835538752362949,0.0
2026-04-01,2465,1.0,1.0,1.0,0.01947261663286004,0.01947261663286004,0.0
2026-04-02,1448,1.0,1.0,1.0,0.004143646408839779,0.004143646408839779,0.0
2026-04-03,2141,1.0,1.0,1.0,0.008874357776739842,0.008874357776739842,0.0
2026-04-04,1988,1.0,1.0,1.0,0.005533199195171026,0.005533199195171026,0.0
2026-04-05,889,1.0,1.0,1.0,0.006749156355455568,0.006749156355455568,0.0
2026-04-06,474,1.0,1.0,1.0,0.008438818565400843,0.008438818565400843,0.0
2026-04-07,1617,1.0,1.0,1.0,0.0030921459492888066,0.0030921459492888066,0.0
2026-04-08,2075,1.0,1.0,1.0,0.005783132530120482,0.005783132530120482,0.0
2026-04-09,2183,1.0,1.0,1.0,0.010535959688502062,0.010535959688502062,0.0
2026-04-10,2076,1.0,1.0,1.0,0.009152215799614644,0.009152215799614644,0.0
