period_group,source,n,mean_breadth,mean_len,mean_tech,top_company
2024,kaggle_arshkon,18,24.61111111111111,1252.6666666666667,19.88888888888889,New Millenium Consulting
2024,kaggle_asaniczka,65,24.923076923076923,1302.1384615384616,20.553846153846155,Capital One
2026,scraped,317,26.946372239747635,1263.5425867507886,19.302839116719245,Jobs via Dice
