tier,period,term,n_hits,share
strict,2024,manage,828,0.03811452771128706
strict,2024,mentor,818,0.0376542073283005
strict,2024,coach,73,0.003360338795801878
strict,2024,hire_verb,212,0.009758792119315043
strict,2024,direct_reports,0,0.0
strict,2024,performance_review,0,0.0
strict,2024,headcount,3,0.0001380961148959676
strict,2024,people_management,0,0.0
strict,2024,one_on_ones,32,0.0014730252255569876
broad_extra,2024,lead_word,728,0.033511323881421466
broad_extra,2024,team_word,5088,0.23421101086356103
broad_extra,2024,stakeholder_word,1128,0.05192413920088382
broad_extra,2024,coordinate,1929,0.08879580187810716
broad_extra,2024,leadership_word,370,0.01703185417050267
strict,2026,manage,250,0.019945747566618797
strict,2026,mentor,741,0.05911919578745811
strict,2026,coach,40,0.0031913196106590075
strict,2026,hire_verb,200,0.015956598053295037
strict,2026,direct_reports,0,0.0
strict,2026,performance_review,0,0.0
strict,2026,headcount,7,0.0005584809318653263
strict,2026,people_management,0,0.0
strict,2026,one_on_ones,12,0.0009573958831977022
broad_extra,2026,lead_word,429,0.034226902824317854
broad_extra,2026,team_word,3283,0.26192755704483806
broad_extra,2026,stakeholder_word,966,0.07707036859741503
broad_extra,2026,coordinate,664,0.052975905536939524
broad_extra,2026,leadership_word,233,0.01858943673208872
