cluster_id,ngram_type,ngram,in_count,out_count,in_rate,out_rate,log_odds_ratio
1,unigram,well-managed,9,0,0.00600400266844563,0.0,3.511775649474776
1,unigram,speaker,17,1,0.01134089392928619,0.0002002002002002002,3.4115949262809413
1,unigram,medical/paid,6,0,0.004002668445630421,0.0,3.153090654608019
1,unigram,quality/review,6,0,0.004002668445630421,0.0,3.153090654608019
1,unigram,evaluator,6,0,0.004002668445630421,0.0,3.153090654608019
1,unigram,hypothesize,6,0,0.004002668445630421,0.0,3.153090654608019
1,unigram,randomization,6,0,0.004002668445630421,0.0,3.153090654608019
1,unigram,annotation,36,5,0.02401601067378252,0.001001001001001001,3.0456223183645217
1,unigram,domain-oriented,5,0,0.00333555703802535,0.0,2.9982708546487364
1,unigram,redpanda,5,0,0.00333555703802535,0.0,2.9982708546487364
1,unigram,batchelor,5,0,0.00333555703802535,0.0,2.9982708546487364
1,unigram,force/torque,5,0,0.00333555703802535,0.0,2.9982708546487364
1,unigram,mlops/devops,5,0,0.00333555703802535,0.0,2.9982708546487364
1,unigram,overlaps,8,1,0.00533689126084056,0.0002002002002002002,2.712397307095222
1,unigram,mpp,8,1,0.00533689126084056,0.0002002002002002002,2.712397307095222
1,unigram,well-modeled,7,1,0.004669779853235491,0.0002002002002002002,2.593944254663354
1,unigram,wrangling,6,1,0.004002668445630421,0.0002002002002002002,2.4597432938852593
1,unigram,onelake,6,1,0.004002668445630421,0.0002002002002002002,2.4597432938852593
1,unigram,automation-first,14,4,0.009339559706470981,0.0008008008008008008,2.3103609734396686
1,unigram,correcting,8,2,0.00533689126084056,0.0004004004004004004,2.306731978744122
1,bigram,training benchmarking,22,0,0.01467645096731154,0.0,4.353441985666471
1,bigram,annotation validation,19,0,0.012675116744496331,0.0,4.211652330531661
1,bigram,commit hours,19,0,0.012675116744496331,0.0,4.211652330531661
1,bigram,across existing,18,0,0.01200800533689126,0.0,4.159684044555877
1,bigram,native fluent,17,0,0.01134089392928619,0.0,4.104942287003701
1,bigram,participate synchronous,17,0,0.01134089392928619,0.0,4.104942287003701
1,bigram,english speaker,17,0,0.01134089392928619,0.0,4.104942287003701
1,bigram,full-stack tooling,15,0,0.01000667111407605,0.0,3.9858115422484497
1,bigram,synchronous design,14,0,0.009339559706470981,0.0,3.920599847069974
1,bigram,annotation tooling,12,0,0.008005336891260841,0.0,3.7761540133139677
1,bigram,reviews iterate,12,0,0.008005336891260841,0.0,3.7761540133139677
1,bigram,able commit,12,0,0.008005336891260841,0.0,3.7761540133139677
1,bigram,labs depend,11,0,0.00733822548365577,0.0,3.6954394883494595
1,bigram,dask spark,10,0,0.0066711140760507,0.0,3.607756745104334
1,bigram,benchmarking pipelines,10,0,0.0066711140760507,0.0,3.607756745104334
1,bigram,pipelines annotation,10,0,0.0066711140760507,0.0,3.607756745104334
1,bigram,speaker with,10,0,0.0066711140760507,0.0,3.607756745104334
1,bigram,data research,20,1,0.0133422281521014,0.0002002002002002002,3.567770581487971
1,bigram,participate ci/cd,9,0,0.00600400266844563,0.0,3.511775649474776
1,bigram,performant resilient,9,0,0.00600400266844563,0.0,3.511775649474776
1,trigram,with ai/ml workflows,19,0,0.012675116744496331,0.0,4.211652330531661
1,trigram,data annotation validation,19,0,0.012675116744496331,0.0,4.211652330531661
1,trigram,evaluation workflows develop,19,0,0.012675116744496331,0.0,4.211652330531661
1,trigram,annotation validation and,19,0,0.012675116744496331,0.0,4.211652330531661
1,trigram,commit hours per,19,0,0.012675116744496331,0.0,4.211652330531661
1,trigram,workflows model training,18,0,0.01200800533689126,0.0,4.159684044555877
1,trigram,native fluent english,17,0,0.01134089392928619,0.0,4.104942287003701
1,trigram,fluent english speaker,17,0,0.01134089392928619,0.0,4.104942287003701
1,trigram,systems developer tooling,16,0,0.01067378252168112,0.0,4.047109791574359
1,trigram,teams support model,16,0,0.01067378252168112,0.0,4.047109791574359
1,trigram,model training benchmarking,15,0,0.01000667111407605,0.0,3.9858115422484497
1,trigram,bottlenecks and edge,15,0,0.01000667111407605,0.0,3.9858115422484497
1,trigram,quality control improve,14,0,0.009339559706470981,0.0,3.920599847069974
1,trigram,control improve reliability,14,0,0.009339559706470981,0.0,3.920599847069974
1,trigram,develop full-stack tooling,13,0,0.00867244829886591,0.0,3.850934254400572
1,trigram,full-stack tooling and,13,0,0.00867244829886591,0.0,3.850934254400572
1,trigram,tooling and backend,13,0,0.00867244829886591,0.0,3.850934254400572
1,trigram,evaluation systems familiarity,13,0,0.00867244829886591,0.0,3.850934254400572
1,trigram,synchronous design reviews,13,0,0.00867244829886591,0.0,3.850934254400572
1,trigram,safety across existing,12,0,0.008005336891260841,0.0,3.7761540133139677
