uid,archetype,projected
asaniczka_07b5de8a7c2f794f,azure/pipelines/solutions,True
asaniczka_aa57520810cd7f90,software/solutions/technology,True
asaniczka_9a1577da6d95d3d5,noise/outlier,False
asaniczka_926f34f4eaa626d0,noise/outlier,False
asaniczka_b5dfc263728bbeee,pipelines/sql/etl,True
asaniczka_cfdbd1ee9749f734,noise/outlier,True
asaniczka_f1d67aa1ab89d40b,noise/outlier,True
asaniczka_d7ef246a0f52690f,azure/pipelines/solutions,True
asaniczka_812a671e36e59d92,azure/sql/solutions,True
asaniczka_95e873915b7b0ae3,pipelines/sql/etl,True
asaniczka_1e261fc0a439c2f2,pipelines/sql/etl,True
asaniczka_9b617fce9aa381b2,software/sql/aspnet,True
asaniczka_0ebb3baa2cec0d6f,kubernetes/terraform/cicd,True
asaniczka_a2d788a9e48f95f9,azure/pipelines/solutions,True
asaniczka_c726c7501c04489f,noise/outlier,True
asaniczka_15c75d4ebd153019,noise/outlier,False
asaniczka_9c119567b15fe3c1,noise/outlier,True
asaniczka_c8fa3f208e01e91c,azure/pipelines/solutions,True
asaniczka_7834af31bf94b07c,azure/pipelines/solutions,True
asaniczka_1f47dd6ad50561cd,pipelines/sql/etl,True
asaniczka_fdf832e4a68715c2,noise/outlier,True
asaniczka_b5ee6339a923fd0d,azure/pipelines/solutions,True
asaniczka_ee8fa16e15894667,azure/pipelines/solutions,True
asaniczka_2a88848b760779f3,noise/outlier,True
asaniczka_067b45427b260aa6,pipelines/sql/etl,True
asaniczka_cef446282d76835e,java/boot/microservices,True
asaniczka_e8af158295e0364a,azure/sql/solutions,True
asaniczka_e615911f914de41e,kubernetes/terraform/cicd,True
asaniczka_5d57a036a12a40b8,pipelines/sql/etl,True
asaniczka_31b856924ea46028,pipelines/sql/etl,True
asaniczka_34ee81fe7ee813e4,software/solutions/technology,True
asaniczka_40dc47cf0d1d7aa0,software/requirements/degree,True
asaniczka_94875d14acfad02b,software/systems/linux,True
asaniczka_b525a7a3ff8eb5ee,pipelines/sql/etl,True
