uid,cluster_id,cluster_name,period,seniority_final,company_name_canonical,company_industry,title,yoe_min_years_llm,orch_density,mgmt_density_v1_rebuilt,ai_binary,strat_density,desc_excerpt_400
linkedin_li-4395861590,0,AI-oriented (low-orch),2026,mid-senior,The Phoenix Group,"Business Consulting and Services, IT Services and IT Consulting, and Financial Services",Senior Artificial Intelligence Engineer,8,12.048192771084338,0.0,1,0.0,"**Core Responsibilities** Data Platform \& Architecture * Design and implement cloud-based data lake / warehouse architectures centered around modern platforms (e.g., Snowflake) * Develop data ingestion pipelines from enterprise systems (project management, ERP, HR systems, contract databases) * Build structured and unstructured ingestion workflows using Python, REST APIs, ETL tools, and serverles"
linkedin_li-4395346705,0,AI-oriented (low-orch),2026,mid-senior,Hays,IT Services and IT Consulting,Sr. Data Engineer,3,10.40118870728083,0.0,1,0.0,"Top notes from manager: | - Strong Python expertise with heavy hands-on coding; senior-leaning (P3 level). - Advanced SQL skills with a strong emphasis on complex queries. - Snowflake experience (3–5 years) — must be hands-on, not just coursework. - Proven experience migrating ETL solutions between cloud platforms, specifically moving pipelines from Azure to Snowflake. - Working knowledge of Azure"
linkedin_li-4389594851,0,AI-oriented (low-orch),2026,mid-senior,Coforge,IT Services and IT Consulting and Investment Banking,Senior AI Engineer,,10.11378002528445,0.0,1,0.0,"Job Title:  **Senior AI Engineer (Generative AI \& Agentic Systems)**    Skills: AI Lead, Solution Design, Generative AI     Experience:12\+ Years     Location: Fort Mill, SC     Job Type: Full -Time         We at Coforge are looking for an  **Senior AI Engineer**   with the following skills.        **Overview:**    Coforge is seeking a highly skilled Senior AI Engineer to design, build, and deplo"
linkedin_li-4399541589,0,AI-oriented (low-orch),2026,mid-senior,Amazech Solutions,Manufacturing,Python AI Engineer,5,10.1010101010101,0.0,1,0.0,"💼 Type: Long Term Multi-Year Contract We’re hiring a Mid-Senior AI Tooling Developer to lead the design and development of AI-powered internal tools. You’ll work with LLMs to build solutions for code analysis, automation, and developer productivity, while collaborating closely with DevOps on CI/CD and infrastructure. **What You’ll Do** | * Build AI-powered tools using Python and LLM APIs (OpenAI, "
linkedin_li-4392920406,0,AI-oriented (low-orch),2026,mid-senior,NTT DATA North America,IT Services and IT Consulting,Lead MLOps Engineer,8,9.950248756218906,0.0,1,0.0,"As a professional in this role, you will own the infrastructure and operationalization of machine learning and Generative AI systems at scale. This includes building reliable pipelines for training, evaluation, deployment, and monitoring of models in production environments. What You'll Do * **ML/LLMOps Architecture:** | Design end-to-end pipelines for training and deploying models, including LLM "
linkedin_li-4402734734,0,AI-oriented (low-orch),2026,mid-senior,Octans Group LLC,Software Development,Onsite Interview | Sr. AI Full Stack Engineer (LLM / GenAI) \ Bay Area,5,9.153318077803204,0.0,1,0.0,Position:** | **Sr. AI Full Stack Engineer (LLM / GenAI)** We are hiring a Senior AI Full Stack Engineer to build real-world AI-powered applications using LLMs and Generative AI. This role focuses on end-to-end development of scalable AI solutions integrated into business workflows. **Key Responsibilities:** | * Build full stack AI applications using Python and React/TypeScript * Develop and integ
linkedin_li-4389490897,0,AI-oriented (low-orch),2026,mid-senior,Franklin Fitch,Staffing and Recruiting,Senior AI Engineer,,9.140767824497257,0.0,1,1.8281535648994514,"You'll be responsible for designing and delivering production-grade agentic systems - not experimenting with demos, but building robust, scalable AI infrastructure that solves real business problems. You'll work closely with senior stakeholders and cross-functional teams to translate complex requirements into reliable, intelligent workflows. * Architecting and building autonomous AI agents and mul"
linkedin_li-4390415966,0,AI-oriented (low-orch),2026,mid-senior,Tata Consultancy Services,IT Services and IT Consulting,Data Science Senior Engineer,,9.100101112234581,0.0,1,0.0,"Must Have Technical/Functional Skills | * Advanced Python development for ML/AI workloads * End‑to‑end ML lifecycle: model training, evaluation, fine‑tuning, and labeling/tagging workflows * Generative AI systems design, including LLM-based application development * Prompt engineering optimization for large language models * Document AI pipelines: OCR/extraction, parsing, normalization, and text c"
linkedin_li-4398174645,0,AI-oriented (low-orch),2026,mid-senior,CoreTek Labs,"Software Development, Automation Machinery Manufacturing, and Motor Vehicle Manufacturing",Senior AI/ML Engineer,11,8.985879332477534,0.0,1,0.0,"**Role: Senior AI/ML Engineer - Automotive client EXP MUST** **Contract 12\+ months** **11\+ years of experience with any Automotive clients like Ford Motor Company** Background: Looking for an experienced AI Engineer to design, build, and deploy enterprise-grade AI solutions for customers. The ideal candidate should have hands-on expertise with Retrieval-Augmented Generation (RAG), Agentic AI wor"
linkedin_li-4394735655,0,AI-oriented (low-orch),2026,mid-senior,Compunnel Inc.,Software Development,Data Science Engineer,,8.968609865470851,0.0,1,0.0,"Job Summary We are seeking a Lead II - ML Engineering Data Science Engineer to design and develop scalable machine learning and Generative AI solutions. This role focuses on building robust data pipelines, training and fine-tuning models, and integrating modern AI frameworks into production systems. The ideal candidate will have strong expertise in Python, experience with document processing workf"
linkedin_li-4386156784,0,AI-oriented (low-orch),2026,mid-senior,Vytwo Technologies Inc.,IT Services and IT Consulting,"Lead AI Engineer - Bengaluru, INDIA",,8.8638195004029,0.0,1,0.8058017727639,"**Role: Lead AI Engineer - Bengaluru, INDIA** **Primary Responsibilities:** This role focuses on building | **production-ready AI applications** and deploying them on | **Azure Databricks and Azure cloud infrastructure** . You will work end-to-end: from **data ingestion and model integration to scalable deployment, monitoring, and ongoing optimization** . The expectation is to convert AI ideas int"
linkedin_li-4398490136,0,AI-oriented (low-orch),2026,mid-senior,SoTalent,Business Consulting and Services,Senior Data Engineer,5,8.840864440078585,0.0,1,0.0,"**Senior Data Engineer (AI / IoT Platforms)** **Senior Data Engineer** This role focuses on building scalable data platforms and pipelines to power real-time analytics, IoT use cases, and next-generation AI/ML capabilities. **Responsibilities** | **Data Engineering \& AI Pipeline Development** * Design and implement scalable data architectures for high-volume IoT and telemetry data * Build and mai"
linkedin_li-4394703581,0,AI-oriented (low-orch),2026,mid-senior,"TechLink Resources, Inc",Software Development,"Sr. Data Engineer (Snowpark, Python, SQL, Azure)- No H1B or C2C",5,8.526187576126675,0.0,1,0.0,"**Senior Data Engineer (Snowflake / Python / AI-Assisted Development)** We re looking for a Senior Data Engineer to help build and modernize enterprise data pipelines in a cloud-based environment. This role is highly hands-on and focused on execution and delivery, working closely with architects and team leads to implement scalable data solutions. You ll play a key role in migrating existing data "
linkedin_li-4393932276,0,AI-oriented (low-orch),2026,mid-senior,Emergence AI,"Technology, Information and Internet",Staff AI Agent Engineer,10,8.51063829787234,0.0,1,0.0,"We're seeking a Staff/Principal Agentic AI Engineer to define and own the production architecture for our autonomous agent platform. You'll build reliable, safe, and scalable systems that power complex agentic workflows, combining deep AI/ML expertise with systems engineering to create production-grade enterprise agents. **What You'll Do** | **Build Production AI Agent Systems** * Design and deplo"
linkedin_li-4392108765,0,AI-oriented (low-orch),2026,mid-senior,Menos AI,Financial Services,Machine Learning Engineer,3,8.291873963515755,0.0,1,0.0,"As a Machine Learning Engineer at | **Menos AI** , you will design, build, and optimize the specialized AI agents that power our research intelligence platform for institutional asset managers. Our platform processes large-scale financial data to deliver actionable insights that transform how investment teams operate. You will work across multi-LLM pipelines (Anthropic, OpenAI, Gemini), agentic or"
linkedin_li-4397602977,0,AI-oriented (low-orch),2026,mid-senior,Finoit Inc,Software Development,Senior Backend Engineer,,8.284023668639053,0.0,1,0.0,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Finoit Inc., is seeking the following. Apply via Dice today!          **Senior Software Engineer, Backend (Founding Team)**  Onsite (5 days/week)           Salary: $150K – $250K \+ Equity          **Role Overview**  We are hiring a  **Senior Backend Engineer**   to join an early-stage, high-growth "
linkedin_li-4383013299,0,AI-oriented (low-orch),2026,mid-senior,Kai,Computer and Network Security,"Senior Data Engineer, AI Platform",4,8.125,0.0,1,0.0,"**About The Role** We are looking for a Senior Data Engineer (AI Platform) to design and build scalable data systems that power next-generation AI and Generative AI applications. This is a senior, hands-on technical role for someone who can operate across both classical data engineering and modern AI data infrastructure — including large-scale data pipelines, vector databases, and retrieval system"
linkedin_li-4397279667,0,AI-oriented (low-orch),2026,mid-senior,NLB Services,IT Services and IT Consulting,Generative AI Engineer,7,8.086253369272237,0.0,1,0.6738544474393531,"We are seeking a | **Senior AI / Generative AI Engineer** with strong expertise in | **core Python development, Generative AI, and Agentic AI systems** . This role focuses on designing, building, and deploying **production-grade AI applications** , including **LLM-powered systems, RAG pipelines, and multi-agent workflows** . The ideal candidate will have hands-on experience building **scalable AI "
linkedin_li-4322006620,0,AI-oriented (low-orch),2026,mid-senior,Clear Street,Financial Services,"Senior Software Engineer - Studio - Java, AI",7,7.865168539325842,0.0,1,0.0,"As a Senior Software Engineer, you’ll build the backend that powers AI features in our trading platform (Clear Street Studio). You’ll own the AI service layer: retrieval, orchestration, guardrails, and evaluation. We’re looking for people who take ownership, learn quickly, and deliver without heavy oversight in a fast-moving environment. **What You’ll Do:** | * Design, implement, and productionize"
linkedin_li-4375712449,0,AI-oriented (low-orch),2026,mid-senior,Darwill,Marketing Services,Machine Learning Engineer,3,7.81657113079729,0.0,1,0.0,"We are seeking a Machine Learning Engineer (MLOps) to support the productionization of traditional machine learning models (e.g., propensity and segmentation models) while also building and maintaining the core data pipelines on Databricks that power our analytics and modeling platforms. This role is intentionally scoped for a mid-level engineer: someone with enough experience to work independentl"
