cluster_id,cluster_name,n,median_yoe_llm_labeled,n_yoe_labeled,industry_top10_2026,metro_top10_2026,seniority_final_dist
0,AI-oriented (low-orch),2395,6.0,1511,"Software Development:44.6%; Financial Services:16.5%; IT Services and IT Consulting:13.6%; Technology, Information and Internet:7.7%; Hospitals and Health Care:4.3%; Information Services and Technology, Information and Internet:3.9%; Staffing and Recruiting:2.9%; Technology, Information and Media:2.3%; Computer and Network Security:2.3%; Research Services:2.1%",San Francisco Bay Area:26.0%; Dallas-Fort Worth Metro:11.4%; Seattle Metro:11.1%; New York City Metro:11.1%; Salt Lake City Metro:9.1%; Boston Metro:7.5%; Washington DC Metro:7.0%; Atlanta Metro:6.7%; Los Angeles Metro:5.4%; Charlotte Metro:4.8%,mid-senior:98.1%; director:1.9%
1,Tech-orchestration (non-AI),7292,5.0,5550,"Software Development:43.1%; IT Services and IT Consulting:14.5%; Financial Services:11.9%; Technology, Information and Internet:10.7%; Staffing and Recruiting:6.0%; Defense and Space Manufacturing:3.7%; Hospitals and Health Care:3.4%; Business Consulting and Services:2.6%; Financial Services, Investment Management, and Banking:2.3%; Retail:1.9%",San Francisco Bay Area:25.3%; New York City Metro:10.9%; Salt Lake City Metro:10.2%; Washington DC Metro:10.0%; Dallas-Fort Worth Metro:9.4%; Seattle Metro:8.3%; Los Angeles Metro:8.2%; Boston Metro:7.8%; Chicago Metro:5.2%; Charlotte Metro:4.9%,mid-senior:99.0%; director:1.0%
