source,period,category,n_rows,mean_share,median_share
kaggle_arshkon,2024-04,ai_domain,80,0.0037532579097032067,0.0
kaggle_arshkon,2024-04,ai_tool,100,0.0007849984461958129,0.0
kaggle_arshkon,2024-04,backend,88,0.012422669105929783,0.0022350122590496894
kaggle_arshkon,2024-04,cloud_devops,108,0.020615492071327714,0.0019942804343024575
kaggle_arshkon,2024-04,data,112,0.018381516129502472,0.0008940049036198756
kaggle_arshkon,2024-04,frontend,52,0.013551021828150637,0.0008940049036198756
kaggle_arshkon,2024-04,language,92,0.03501310896138343,0.00402302206628944
kaggle_arshkon,2024-04,method_testing,76,0.02225372220062352,0.005714285714285714
kaggle_arshkon,2024-04,other,16,0.027922716671127185,0.006911307404211774
kaggle_asaniczka,2024-01,ai_domain,80,0.004267823971617296,0.0
kaggle_asaniczka,2024-01,ai_tool,100,0.0016906754800110353,0.0
kaggle_asaniczka,2024-01,backend,88,0.0075558628152256925,9.078529278256922e-05
kaggle_asaniczka,2024-01,cloud_devops,108,0.01935861355558101,0.0006808896958692692
kaggle_asaniczka,2024-01,data,112,0.020908219763389253,0.0009122759015745263
kaggle_asaniczka,2024-01,frontend,52,0.008533576101836108,0.00023471160251198775
kaggle_asaniczka,2024-01,language,92,0.03662646545411229,0.002158894645941278
kaggle_asaniczka,2024-01,method_testing,76,0.014090872267163273,0.0002878526194588371
kaggle_asaniczka,2024-01,other,16,0.025730225177783894,0.008397639582387654
scraped,2026-03,ai_domain,80,0.009630339835796389,0.0012328538438119104
scraped,2026-03,ai_tool,100,0.009165127130496685,0.00042150618209067065
scraped,2026-03,backend,88,0.017317886624556366,0.0030461259800486154
scraped,2026-03,cloud_devops,108,0.040123351858528146,0.006210721335763621
scraped,2026-03,data,112,0.027228410821316582,0.005041695316740015
scraped,2026-03,frontend,52,0.018276213152178745,0.002572248477383054
scraped,2026-03,language,92,0.044129597467990125,0.003342299419214591
scraped,2026-03,method_testing,76,0.03306856221614026,0.0037650602409638554
scraped,2026-03,other,16,0.024612439758614556,0.005007261964108617
scraped,2026-04,ai_domain,80,0.009926210421131215,0.0001359064963305246
scraped,2026-04,ai_tool,100,0.008620579343478686,0.00011999863173973924
scraped,2026-04,backend,88,0.016684805326341735,0.005291005291005291
scraped,2026-04,cloud_devops,108,0.03628987122356434,0.005516810658894556
scraped,2026-04,data,112,0.025746529776825365,0.0026138630378913065
scraped,2026-04,frontend,52,0.012015112060959813,0.0026759312956877233
scraped,2026-04,language,92,0.03753226482120544,0.002749769534221831
scraped,2026-04,method_testing,76,0.028515412248198337,0.0077056826173433944
scraped,2026-04,other,16,0.01479631070177578,0.005291005291005291
