tech_a,tech_b,phi,freq_a,freq_b,source,n_rows_capped
javascript,typescript,0.3386148886938988,0.16482510845986983,0.1503524945770065,scraped,29504
javascript,c_sharp,0.17539510701269362,0.16482510845986983,0.1037486442516269,scraped,29504
javascript,html,0.41031817055493974,0.16482510845986983,0.05822939262472885,scraped,29504
javascript,css,0.201130771814426,0.16482510845986983,0.015252169197396963,scraped,29504
javascript,react,0.19072073893984323,0.16482510845986983,0.04429907809110629,scraped,29504
javascript,angular,0.2522276398237359,0.16482510845986983,0.08585276572668113,scraped,29504
javascript,nodejs,0.21486484704737596,0.16482510845986983,0.07497288503253796,scraped,29504
javascript,jest,0.16336707465030018,0.16482510845986983,0.014065889370932755,scraped,29504
typescript,react,0.23204717104906664,0.1503524945770065,0.04429907809110629,scraped,29504
typescript,angular,0.16084087231729519,0.1503524945770065,0.08585276572668113,scraped,29504
typescript,nextjs,0.2701864750947971,0.1503524945770065,0.028538503253796095,scraped,29504
typescript,nodejs,0.31415270134205026,0.1503524945770065,0.07497288503253796,scraped,29504
typescript,graphql,0.20535452704454496,0.1503524945770065,0.04192651843817787,scraped,29504
typescript,postgresql,0.17386022643853274,0.1503524945770065,0.10723969631236442,scraped,29504
typescript,jest,0.1929436057445583,0.1503524945770065,0.014065889370932755,scraped,29504
go,kubernetes,0.20042469630498694,0.15482646420824295,0.2254948481561822,scraped,29504
c_sharp,angular,0.16195924238852366,0.1037486442516269,0.08585276572668113,scraped,29504
c_sharp,dotnet,0.3211181420275095,0.1037486442516269,0.01589614967462039,scraped,29504
c_sharp,aspnet,0.32453454471702076,0.1037486442516269,0.01535385032537961,scraped,29504
c_sharp,sql,0.1687358551940631,0.1037486442516269,0.260066431670282,scraped,29504
scala,kafka,0.16257912562425514,0.02975867678958785,0.09330938177874186,scraped,29504
scala,hadoop,0.20412065885870284,0.02975867678958785,0.020268438177874187,scraped,29504
html,css,0.3847634938586606,0.05822939262472885,0.015252169197396963,scraped,29504
html,angular,0.2466993817741093,0.05822939262472885,0.08585276572668113,scraped,29504
react,nextjs,0.1916295049786389,0.04429907809110629,0.028538503253796095,scraped,29504
react,nodejs,0.1570085108394365,0.04429907809110629,0.07497288503253796,scraped,29504
angular,vue,0.21681052567173656,0.08585276572668113,0.014099783080260303,scraped,29504
angular,nodejs,0.1525685964440226,0.08585276572668113,0.07497288503253796,scraped,29504
angular,microservices,0.18846561295263167,0.08585276572668113,0.13350732104121474,scraped,29504
angular,sql,0.16279184064367266,0.08585276572668113,0.260066431670282,scraped,29504
nextjs,nodejs,0.19623550658348377,0.028538503253796095,0.07497288503253796,scraped,29504
nodejs,graphql,0.165202170937685,0.07497288503253796,0.04192651843817787,scraped,29504
django,flask,0.3846015178352774,0.01826870932754881,0.014133676789587853,scraped,29504
django,fastapi,0.31057680480905064,0.01826870932754881,0.025691431670281997,scraped,29504
django,postgresql,0.15311734030701266,0.01826870932754881,0.10723969631236442,scraped,29504
flask,fastapi,0.4360836230407662,0.014133676789587853,0.025691431670281997,scraped,29504
aspnet,sql,0.15784616159547737,0.01535385032537961,0.260066431670282,scraped,29504
