boundary,tag,n_a,n_b,auc_mean,auc_std,top_features,n_folds,period
entry->associate,primary_sen_final|2024,376,39,0.6262230576441103,0.08829259582488784,yoe_missing:-0.68; yoe_feat:+0.32; education_level:+0.18; log_len:+0.16; ai_mention:-0.15,5,2024
entry->associate,primary_sen_final|2026,610,52,0.7193517138599106,0.09460749102190412,yoe_missing:-1.12; yoe_feat:+0.48; scope_density:-0.31; mgmt_density:-0.21; tech_count:+0.14,5,2026
entry->mid-senior,primary_sen_final|2024,376,12768,0.8363051421259751,0.010342049077933903,yoe_feat:+2.68; yoe_missing:-1.10; tech_count:+0.20; scope_density:+0.08; mgmt_density:+0.06,5,2024
entry->mid-senior,primary_sen_final|2026,610,6089,0.8764626556721005,0.010044316909380123,yoe_feat:+2.84; yoe_missing:-1.91; education_level:-0.32; scope_density:+0.16; log_len:+0.16,5,2026
associate->mid-senior,primary_sen_final|2024,39,12768,0.691055698726105,0.14888570467059384,yoe_feat:+1.49; tech_count:+0.30; yoe_missing:-0.24; scope_density:+0.19; ai_mention:+0.15,5,2024
associate->mid-senior,primary_sen_final|2026,52,6089,0.7905953402088614,0.04345963671657018,yoe_feat:+1.70; scope_density:+0.60; yoe_missing:-0.47; mgmt_density:+0.39; ai_mention:+0.19,5,2026
mid-senior->director,primary_sen_final|2024,12768,99,0.6773536136329144,0.057338009378964654,tech_count:-0.48; yoe_feat:+0.36; log_len:+0.27; scope_density:-0.13; ai_mention:+0.11,5,2024
mid-senior->director,primary_sen_final|2026,6089,115,0.6161934410186618,0.040037439998419175,tech_count:+0.35; education_level:+0.25; yoe_feat:+0.24; yoe_missing:+0.22; scope_density:-0.13,5,2026
entry->associate,sensitivity_yoe_proxy|2024,1688,0,,,,0,2024
entry->associate,sensitivity_yoe_proxy|2026,1458,0,,,,0,2026
entry->mid-senior,sensitivity_yoe_proxy|2024,1688,8675,1.0,0.0,yoe_feat:+11.93; scope_density:+0.02; tech_count:+0.01; mgmt_density:+0.01; log_len:-0.01,5,2024
entry->mid-senior,sensitivity_yoe_proxy|2026,1458,4983,1.0,0.0,yoe_feat:+11.62; ai_mention:+0.08; scope_density:+0.05; education_level:-0.05; tech_count:+0.03,5,2026
associate->mid-senior,sensitivity_yoe_proxy|2024,0,8675,,,,0,2024
associate->mid-senior,sensitivity_yoe_proxy|2026,0,4983,,,,0,2026
mid-senior->director,sensitivity_yoe_proxy|2024,8675,4650,1.0,0.0,yoe_feat:+16.52; tech_count:-0.16; log_len:+0.07; scope_density:-0.03; ai_mention:+0.03,5,2024
mid-senior->director,sensitivity_yoe_proxy|2026,4983,2051,1.0,0.0,yoe_feat:+12.85; log_len:-0.09; scope_density:+0.07; ai_mention:+0.06; mgmt_density:+0.06,5,2026
entry->associate,sens_a_no_agg|2024,349,38,0.6173232771369417,0.0936266364887111,yoe_missing:-0.69; yoe_feat:+0.34; education_level:+0.21; log_len:+0.21; ai_mention:-0.16,5,2024
entry->associate,sens_a_no_agg|2026,515,47,0.7699460625674218,0.05749014205817163,yoe_missing:-1.05; log_len:+0.45; yoe_feat:+0.31; scope_density:-0.27; mgmt_density:-0.15,5,2026
entry->mid-senior,sens_a_no_agg|2024,349,10567,0.8418694420676778,0.018710206662350903,yoe_feat:+2.67; yoe_missing:-1.15; education_level:-0.13; scope_density:+0.11; tech_count:+0.10,5,2024
entry->mid-senior,sens_a_no_agg|2026,515,5228,0.8801494348197705,0.011379130422163168,yoe_feat:+2.65; yoe_missing:-1.89; education_level:-0.31; log_len:+0.17; tech_count:+0.17,5,2026
associate->mid-senior,sens_a_no_agg|2024,38,10567,0.7186967281811851,0.07603048690913237,yoe_feat:+1.41; yoe_missing:-0.27; tech_count:+0.22; education_level:-0.18; scope_density:+0.17,5,2024
associate->mid-senior,sens_a_no_agg|2026,47,5228,0.8239931202942173,0.0187529296772723,yoe_feat:+1.79; scope_density:+0.54; yoe_missing:-0.49; mgmt_density:+0.35; ai_mention:+0.18,5,2026
mid-senior->director,sens_a_no_agg|2024,10567,74,0.6677370438495491,0.0582144361364662,tech_count:-0.44; yoe_feat:+0.37; log_len:+0.34; yoe_missing:-0.26; ai_mention:+0.17,5,2024
