uid,title,company_name_effective,yoe_extracted,seniority_final,seniority_native,has_mentor,has_coach,has_ai,desc_len
arshkon_3900942500,Journeyman Systems Engineer,Odyssey Systems,3.0,entry,entry,0,0,0,12755
arshkon_3904391344,Nuclear Hardness Systems Engineer,"BAE Systems, Inc.",2.0,entry,entry,0,0,0,10341
arshkon_3894551665,Software Engineer - Booking - Costco Travel,Costco Wholesale,2.0,entry,entry,1,0,0,9210
arshkon_3905332170,Test Engineer,"Woodward, Inc.",1.0,entry,entry,0,0,0,8852
arshkon_3901941751,"Software Engineer - ELSYS - On Site - Warner Robins, GA - (Open Rank)",Georgia Tech Research Institute,2.0,entry,entry,0,0,0,8786
arshkon_3900074985,Application Engineer,Regal Rexnord,3.0,entry,entry,0,0,0,8220
arshkon_3902840602,Data Engineer,Brighton Jones,2.0,entry,entry,0,0,0,7960
arshkon_3891285588,Automation Engineer,myGwork - LGBTQ+ Business Community,3.0,entry,entry,0,0,0,7876
arshkon_3903476022,Flight Software Engineer II - QA and Test,Rocket Lab,2.0,entry,entry,0,0,0,7866
arshkon_3891286990,Automation Engineer,Pfizer,3.0,entry,entry,0,0,0,7787
arshkon_3905692227,AI Product Manager and Prompt Engineer,Eli Lilly and Company,2.0,entry,entry,0,0,1,7781
arshkon_3901180022,Reliability Engineer,Cushman & Wakefield,2.0,entry,entry,1,0,0,7467
arshkon_3901676239,Software Engineer,Docusign,1.0,entry,entry,0,1,1,7390
arshkon_3906227274,Full Stack Software Engineer,BetterHelp,3.0,entry,entry,1,0,0,7166
arshkon_3904392459,"Software Engineer, Back-End",Grammarly,3.0,entry,entry,1,1,1,7153
arshkon_3901671666,Site Reliability Engineer,FiscalNote,3.0,entry,entry,0,0,1,7133
arshkon_3901945418,Cloud DevOps Engineer,Oracle,3.0,entry,entry,1,0,0,7092
arshkon_3903830118,Cybersecurity Data Engineer,FanDuel,3.0,entry,entry,1,0,1,7091
arshkon_3895544360,Software Developer - Remote,General Dynamics Information Technology,3.0,entry,entry,0,0,0,7077
arshkon_3904415625,Mission Software Engineer - Fury / CCA (C++/Rust),Anduril Industries,3.0,entry,entry,0,1,0,7053
