uid,title,company_name_effective,yoe_extracted,seniority_final,seniority_native,has_mentor,has_coach,has_proj_mgmt,has_stakeholder,has_ai,desc_len
linkedin_li-4394067522,"Robotics Systems Engineer I, Tech Deployment",myGwork - LGBTQ+ Business Community,1.0,entry,entry,1,0,0,1,0,11709
linkedin_li-4389319681,Intermediate Software Engineer - Onsite Interviews (Denver),Transamerica,1.0,entry,entry,0,1,0,0,0,11048
linkedin_li-4393299877,DevOps Engineer,Delta Dental Ins.,2.0,entry,entry,1,0,0,0,1,11012
linkedin_li-4316386217,Data Engineer,CGI,2.0,entry,entry,0,0,0,1,0,10332
linkedin_li-4391691955,AI Native Software Engineer,Accenture,1.0,entry,entry,0,0,0,1,1,10161
linkedin_li-4389924625,Rotational Development Program – Software Engineer – Power Solutions,Bosch Home Comfort USA,2.0,entry,entry,1,1,1,1,0,10092
linkedin_li-4388887303,Data Science Engineer,Molex,2.0,entry,entry,1,0,0,1,1,9841
linkedin_li-4391340556,Reliability Engineer II,Medtronic,2.0,entry,entry,1,0,0,0,0,9662
linkedin_li-4392072331,C5I Software Engineer II,Raytheon,2.0,entry,entry,0,0,0,1,0,9512
linkedin_li-4372197919,Avionics Radiation Hardness Assurance Systems Engineer (ADV000CKA),CGI,2.0,entry,entry,0,0,0,1,0,9334
linkedin_li-4371618344,Project Application Engineer,Emerson,2.0,entry,entry,1,0,0,0,0,9250
linkedin_li-4382335281,System Engineer II (Onsite),Collins Aerospace,2.0,entry,entry,0,0,0,1,0,9223
linkedin_li-4303227409,"Amazon Robotics - 2026 Robotics Systems Engineer Intern/Co-op, Robotics Deployment Engineering",Amazon,1.0,entry,,0,0,0,1,1,9079
linkedin_li-4380548116,Software Engineer II (Remote),Inspira Financial,2.0,entry,entry,1,1,0,0,1,8983
linkedin_li-4395119566,Data Engineer,"Edeniq, Inc.",2.0,entry,entry,0,0,1,1,0,8977
linkedin_li-4391511356,Software Engineer - Mobility,automotiveMastermind Inc.,2.0,entry,entry,0,0,0,1,0,8558
linkedin_li-4388718583,App/Web Developer - Working (Business Process Automation),Inside Higher Ed,1.0,entry,entry,0,0,0,1,0,8524
linkedin_li-4386605722,Data Engineer (Remote Available),Vanderbilt University Medical Center,2.0,entry,entry,0,1,0,1,0,8479
linkedin_li-4379336284,FAST Labs - Software Engineer II (Sign-on Bonus Available),"BAE Systems, Inc.",2.0,entry,entry,1,0,0,1,0,8440
linkedin_li-4393289215,"Full Stack Developer II, Data & Analytics Software Solutions | Forensic and Litigation Consulting",FTI Consulting,2.0,entry,entry,1,1,0,1,0,8370
