comparison,corpus_a,corpus_b,n_a,n_b,flag_low_n
T10_01_junior_2024_vs_junior_2026,junior_2024,junior_2026,773,561,False
T10_02_senior_2024_vs_senior_2026,senior_2024,senior_2026,2803,3379,False
T10_03_junior_2024_vs_senior_2024,junior_2024,senior_2024,773,2803,False
T10_04_junior_2026_vs_senior_2026,junior_2026,senior_2026,561,3379,False
T10_05_junior_2026_vs_senior_2024,junior_2026,senior_2024,561,2803,False
T10_06_swe_2026_vs_control_2026,swe_2026,control_2026,4054,3886,False
