period_group,cluster_name,n,share_within_period
2024,people_manager,12779,0.9760922700886038
2024,strategist,152,0.011610143599144515
2024,tech_orchestrator,161,0.012297586312251757
2026,people_manager,12398,0.7847332109627192
2026,strategist,991,0.06272548895499715
2026,tech_orchestrator,2410,0.1525413000822837
