source_key,source_rank,company_name_canonical,postings,industry_mode,ai_mention_share,mean_description_length,mean_tech_count
scraped_linkedin,1,Jobs via Dice,1711,Software Development,0.45353594389246055,5207.977206312098,5.343074225599065
scraped_linkedin,2,Haystack,232,"Technology, Information and Internet",0.30603448275862066,2012.4870689655172,3.788793103448276
scraped_linkedin,3,PayPal,137,"Software Development, Financial Services, and Technology, Information and Internet",0.36496350364963503,9034.817518248175,4.9416058394160585
scraped_linkedin,4,Akkodis Group Nordics,134,IT Services and IT Consulting,0.1791044776119403,3441.0223880597014,3.791044776119403
scraped_linkedin,5,TalentAlly,126,"Technology, Information and Media",0.5396825396825397,6369.0952380952385,5.738095238095238
scraped_linkedin,6,PNC,108,Financial Services,0.17592592592592593,7870.212962962963,5.277777777777778
scraped_linkedin,7,Alignerr,96,"Technology, Information and Internet",1.0,2309.46875,2.03125
scraped_linkedin,8,TikTok USDS Joint Venture,94,Entertainment Providers,0.648936170212766,7385.063829787234,3.3085106382978724
scraped_linkedin,9,NTT DATA North America,88,IT Services and IT Consulting,0.8409090909090909,5635.284090909091,7.170454545454546
scraped_linkedin,10,Andiamo,81,Staffing and Recruiting,1.0,3412.679012345679,5.444444444444445
scraped_linkedin,11,Anthropic,77,Research Services,1.0,7877.103896103896,3.2337662337662336
scraped_linkedin,12,PTR Global,76,IT Services and IT Consulting,0.4473684210526316,3608.565789473684,5.5
scraped_linkedin,13,Microsoft AI,75,Software Development,0.9733333333333334,6260.08,5.8533333333333335
scraped_linkedin,14,"Akina, Inc",64,Software Development,0.296875,4707.109375,5.890625
scraped_linkedin,15,Jack & Jill,62,"Technology, Information and Internet",1.0,3672.5806451612902,2.274193548387097
scraped_linkedin,16,Lensa,60,Software Development,0.2,4576.0,4.566666666666666
scraped_linkedin,17,BNY,55,Financial Services,1.0,5151.163636363636,7.3090909090909095
scraped_linkedin,18,CoreWeave,51,"Technology, Information and Internet",1.0,7944.254901960784,5.254901960784314
scraped_linkedin,19,Inside Higher Ed,51,Online Audio and Video Media,0.3137254901960784,7293.843137254902,4.294117647058823
scraped_linkedin,20,Charles Schwab,50,Financial Services,0.44,4879.34,7.66
scraped_indeed,1,Apple,532,,0.5657894736842105,4801.383458646616,4.265037593984962
scraped_indeed,2,Realign,209,,0.2727272727272727,2154.5693779904304,7.421052631578948
scraped_indeed,3,NTT DATA,114,,0.9298245614035088,5507.254385964912,7.315789473684211
scraped_indeed,4,PNC Financial Services Group,67,,0.14925373134328357,8025.865671641791,5.0
scraped_indeed,5,Information Technology Senior Management Forum,51,,0.6666666666666666,10428.686274509804,8.176470588235293
scraped_indeed,6,Anduril,44,,1.0,8728.181818181818,3.909090909090909
scraped_indeed,7,BAE Systems USA,44,,0.09090909090909091,6525.227272727273,2.6136363636363638
scraped_indeed,8,Intone Networks,43,,0.11627906976744186,1116.093023255814,4.395348837209302
scraped_indeed,9,"Akina, Inc",36,,0.3888888888888889,4748.138888888889,7.166666666666667
scraped_indeed,10,PayPal,36,,0.3333333333333333,8980.361111111111,5.638888888888889
scraped_indeed,11,BNY,31,,0.967741935483871,5039.870967741936,8.451612903225806
scraped_indeed,12,Vantor,26,,0.2692307692307692,6615.461538461538,7.576923076923077
scraped_indeed,13,Fearless,23,,0.5217391304347826,12415.04347826087,6.913043478260869
scraped_indeed,14,Charles Schwab,22,,0.5909090909090909,5374.409090909091,7.909090909090909
scraped_indeed,15,Intercontinental Exchange,22,,0.5909090909090909,3465.409090909091,6.681818181818182
scraped_indeed,16,Zoom Communications,21,,0.5714285714285714,5631.523809523809,4.523809523809524
scraped_indeed,17,Power3 Solutions,20,,0.05,4230.45,4.85
scraped_indeed,18,Epsilon Systems Solutions,18,,0.3888888888888889,5186.277777777777,11.11111111111111
scraped_indeed,19,VTG Defense,18,,0.2222222222222222,2545.0555555555557,7.611111111111111
scraped_indeed,20,Stellantis,16,,0.0,4039.1875,0.875
