source_key,is_aggregator,seniority_final,n,share
kaggle_arshkon,false,associate,14,0.0032856137057028865
kaggle_arshkon,false,director,12,0.002816240319173903
kaggle_arshkon,false,entry,164,0.03848861769537667
kaggle_arshkon,false,mid-senior,1904,0.4468434639755926
kaggle_arshkon,false,unknown,2167,0.508566064304154
kaggle_arshkon,true,associate,1,0.002325581395348837
kaggle_arshkon,true,director,1,0.002325581395348837
kaggle_arshkon,true,entry,11,0.02558139534883721
kaggle_arshkon,true,mid-senior,160,0.37209302325581395
kaggle_arshkon,true,unknown,257,0.5976744186046512
kaggle_asaniczka,false,associate,24,0.0015804030027657052
kaggle_asaniczka,false,director,64,0.004214408007375214
kaggle_asaniczka,false,entry,188,0.01237982352166469
kaggle_asaniczka,false,mid-senior,9177,0.6043065981825365
kaggle_asaniczka,false,unknown,5733,0.37751876728565786
kaggle_asaniczka,true,director,28,0.009514101257220523
kaggle_asaniczka,true,entry,16,0.0054366292898402994
kaggle_asaniczka,true,mid-senior,2249,0.764186204553177
kaggle_asaniczka,true,unknown,650,0.22086306489976215
scraped_linkedin,false,associate,47,0.0013790675156245416
scraped_linkedin,false,director,285,0.008362430679850943
scraped_linkedin,false,entry,1083,0.03177723658343359
scraped_linkedin,false,mid-senior,15298,0.448871805404771
scraped_linkedin,false,unknown,17368,0.50960945981632
scraped_linkedin,true,associate,5,0.0007352941176470588
scraped_linkedin,true,director,10,0.0014705882352941176
scraped_linkedin,true,entry,192,0.02823529411764706
scraped_linkedin,true,mid-senior,2120,0.31176470588235294
scraped_linkedin,true,unknown,4473,0.6577941176470589
scraped_indeed,false,director,133,0.011458602567416215
scraped_indeed,false,entry,361,0.031101921254415438
scraped_indeed,false,mid-senior,4925,0.42431291462048765
scraped_indeed,false,unknown,6188,0.5331265615576807
scraped_indeed,true,entry,1,0.003952569169960474
scraped_indeed,true,mid-senior,58,0.22924901185770752
scraped_indeed,true,unknown,194,0.766798418972332
