source_key,n_swe,companies_known,distinct_companies,aggregators,yoe_known,known_seniority,ai_mentions,mean_tech_count
kaggle_arshkon,4691,4646,2298,430,2911,2267,749,4.302067789383926
kaggle_asaniczka,18129,18129,4948,2943,12834,11746,2615,4.11671906889514
scraped_linkedin,40881,40881,7940,6800,27581,19040,20888,5.127809985078643
scraped_indeed,11860,11511,3308,253,8365,5478,5957,5.301517706576728
