source_key,source_rank,company_name_canonical,postings,distinct_description_hashes,postings_per_distinct_hash,largest_hash_n,largest_hash_share
kaggle_arshkon,1,SynergisticIT,5,1,5.0,5,1.0
kaggle_arshkon,2,Cogent Communications,6,3,2.0,4,0.6666666666666666
kaggle_arshkon,3,Block,5,4,1.25,2,0.4
kaggle_arshkon,4,Franklin Fitch,7,6,1.1666666666666667,2,0.2857142857142857
kaggle_arshkon,5,maven,15,13,1.1538461538461537,2,0.13333333333333333
kaggle_arshkon,6,hackajob,10,9,1.1111111111111112,2,0.2
kaggle_arshkon,7,Selby Jennings,11,10,1.1,2,0.18181818181818182
kaggle_arshkon,8,Apex Systems,52,52,1.0,1,0.019230769230769232
kaggle_arshkon,9,Capital One,52,52,1.0,1,0.019230769230769232
kaggle_arshkon,10,Motion Recruitment,40,40,1.0,1,0.025
kaggle_asaniczka,1,Revature,9,4,2.25,3,0.3333333333333333
kaggle_asaniczka,2,"#twiceasnice Recruiting",5,3,1.6666666666666667,3,0.6
kaggle_asaniczka,3,Forward,18,11,1.6363636363636365,6,0.3333333333333333
kaggle_asaniczka,4,Agoda,11,8,1.375,2,0.18181818181818182
kaggle_asaniczka,5,Epic,5,4,1.25,2,0.4
kaggle_asaniczka,6,Rad Hires,5,4,1.25,2,0.4
kaggle_asaniczka,7,Datadog,7,6,1.1666666666666667,2,0.2857142857142857
kaggle_asaniczka,8,Orion Innovation,7,6,1.1666666666666667,2,0.2857142857142857
kaggle_asaniczka,9,Palo Alto Networks,86,75,1.1466666666666667,3,0.03488372093023256
kaggle_asaniczka,10,Barrington James,8,7,1.1428571428571428,2,0.25
scraped_linkedin,1,Intellibus,8,2,4.0,7,0.875
scraped_linkedin,2,Turing,42,14,3.0,4,0.09523809523809523
scraped_linkedin,3,DataAnnotation,71,26,2.730769230769231,38,0.5352112676056338
scraped_linkedin,4,Integrated Power Services,5,2,2.5,3,0.6
scraped_linkedin,5,ExecutivePlacements.com,11,5,2.2,4,0.36363636363636365
scraped_linkedin,6,Mercor,73,40,1.825,5,0.0684931506849315
scraped_linkedin,7,YO IT Consulting,27,15,1.8,8,0.2962962962962963
scraped_linkedin,8,VAST Data,5,3,1.6666666666666667,3,0.6
scraped_linkedin,9,Pittsburgh Robotics Network,27,19,1.4210526315789473,8,0.2962962962962963
scraped_linkedin,10,Stealth Startup,41,29,1.4137931034482758,3,0.07317073170731707
scraped_indeed,1,Compass Group USA,5,4,1.25,2,0.4
scraped_indeed,2,M-TECH SYSTEMS,5,4,1.25,2,0.4
scraped_indeed,3,Q2ebanking,5,4,1.25,2,0.4
scraped_indeed,4,Discord,6,5,1.2,2,0.3333333333333333
scraped_indeed,5,ARSIEM Corporation,8,7,1.1428571428571428,2,0.25
scraped_indeed,6,Hudson Manpower,8,7,1.1428571428571428,2,0.25
scraped_indeed,7,Infosys,31,28,1.1071428571428572,3,0.0967741935483871
scraped_indeed,8,Equifax,23,21,1.0952380952380953,3,0.13043478260869565
scraped_indeed,9,Rippling,13,12,1.0833333333333333,2,0.15384615384615385
scraped_indeed,10,OpenAI,14,13,1.0769230769230769,2,0.14285714285714285
