title_normalized,n
quality engineer,1331
data scientist,1279
network engineer,1195
data analyst,1044
architect,466
solutions architect,352
security engineer,295
systems administrator,258
system administrator,192
data architect,170
database administrator,161
solution architect,148
cyber security engineer,146
cybersecurity engineer,120
enterprise architect,120
analytics engineer,100
network security engineer,100
systems analyst,94
. network engineer,92
security architect,89
application security engineer,83
cloud architect,83
. quality engineer,80
cloud security engineer,78
information security engineer,73
