source,period,swe_classification_tier,n,share
kaggle_arshkon,2024-04,embedding_high,77,0.0164144105734385
kaggle_arshkon,2024-04,regex,4158,0.886378170965679
kaggle_arshkon,2024-04,title_lookup_llm,456,0.09720741846088254
kaggle_asaniczka,2024-01,embedding_high,386,0.02129185283247835
kaggle_asaniczka,2024-01,regex,15775,0.8701527938661813
kaggle_asaniczka,2024-01,title_lookup_llm,1968,0.10855535330134039
scraped,2026-03,embedding_high,292,0.014750454637300466
scraped,2026-03,regex,18485,0.9337744998989694
scraped,2026-03,title_lookup_llm,1019,0.051475045463730044
scraped,2026-04,embedding_high,257,0.014807559345471307
scraped,2026-04,regex,16191,0.9328762387646923
scraped,2026-04,title_lookup_llm,908,0.05231620188983637
