period,seniority_3level,n,ai_tool_rate,ai_domain_rate,ai_general_rate,ai_any_rate
2024-01,junior,130,0.007692307692307693,0.09230769230769231,0.015384615384615385,0.1
2024-01,mid,1450,0.019310344827586208,0.1096551724137931,0.031724137931034485,0.13379310344827586
2024-01,senior,21633,0.0167336938935885,0.11121897101650256,0.02764295289603846,0.11953959228955761
2024-04,junior,830,0.01566265060240964,0.0891566265060241,0.030120481927710843,0.10240963855421686
2024-04,mid,228,0.013157894736842105,0.07017543859649122,0.02631578947368421,0.08333333333333333
2024-04,senior,3008,0.018284574468085107,0.08743351063829788,0.027925531914893616,0.09840425531914894
2024-04,unknown,953,0.013641133263378805,0.07869884575026233,0.01993704092339979,0.09024134312696747
2026-03,junior,3255,0.18740399385560677,0.25407066052227345,0.10015360983102918,0.38218125960061444
2026-03,mid,622,0.20739549839228297,0.14790996784565916,0.09163987138263666,0.3022508038585209
2026-03,senior,18592,0.24349182444061962,0.21197289156626506,0.1707723752151463,0.4031303786574871
2026-03,unknown,1626,0.21279212792127922,0.3769987699876999,0.3979089790897909,0.5289052890528906
