title_lc,n_arsh,n_scr,cosine
software engineer,117,291,0.9405881402488225
senior software engineer,137,283,0.9379122803416557
data engineer,71,128,0.9479886637340691
senior data engineer,33,78,0.9115848940984764
devops engineer,47,75,0.8890331577010997
full stack engineer,50,68,0.8806123843741708
machine learning engineer,18,40,0.8255107034887821
cloud engineer,28,36,0.8659917927002164
embedded software engineer,27,33,0.8487572668051581
site reliability engineer,23,30,0.8521880021431761
