source_bucket,n,ai_share,ai_n,ml_share,ml_n,llm_share,llm_n,genai_share,genai_n,agent_share,agent_n,data_share,data_n,intelligence_share,intelligence_n,mlops_share,mlops_n,nlp_share,nlp_n,ai_related_title_share,ai_related_title_n
arshkon,3987,0.01780787559568598,71,0.025332330072736393,101,0.0007524454477050414,3,0.003511412089290193,14,0.0007524454477050414,3,0.08628041133684475,344,0.0027589666415851516,11,0.001003260596940055,4,0.0007524454477050414,3,0.04163531477301229,166
asaniczka,14200,0.008802816901408451,125,0.015140845070422536,215,0.0007746478873239436,11,0.0011267605633802818,16,0.0,0,0.06338028169014084,900,0.0011971830985915493,17,0.00035211267605633805,5,0.00021126760563380283,3,0.02232394366197183,317
scraped,30279,0.09864922883846891,2987,0.05290795600911523,1602,0.0023118332837940487,70,0.007232735559298524,219,0.009973909310082896,302,0.09805475742263615,2969,0.007529971267214901,228,0.0015522309191188612,47,0.0002642095181478913,8,0.13877604940717989,4202
