source_bucket,n,senior_share,senior_n,lead_share,lead_n,principal_share,principal_n,staff_share,staff_n,junior_share,junior_n,associate_share,associate_n,intern_share,intern_n,entry_share,entry_n
arshkon,3987,0.2806621519939804,1119,0.06571356909957361,262,0.030599448206671685,122,0.025583145221971408,102,0.008778530223225483,35,0.007775269626285428,31,0.010283421118635566,41,0.0015048908954100827,6
asaniczka,14200,0.4472535211267606,6351,0.08140845070422535,1156,0.05859154929577465,832,0.02852112676056338,405,0.005140845070422535,73,0.004647887323943662,66,0.0014788732394366197,21,0.0007042253521126761,10
scraped,30279,0.3091581624228013,9361,0.06714224379933287,2033,0.043759701443244495,1325,0.06258462961128175,1895,0.00799233792397371,242,0.008487730770501007,257,0.011460087849664784,347,0.005251164173189339,159
