occ_group,period,n_known,junior_n,junior_share_pct
Control,2024-04,7117,1604.0,22.5
Control,2026-03,3917,1702.0,43.5
SWE,2024-04,3553,745.0,21.0
SWE,2026-03,3948,549.0,13.9
SWE-adjacent,2024-04,1223,226.0,18.5
SWE-adjacent,2026-03,565,117.0,20.7
