occ_group,period,n,ai_any_pct,ai_tools_pct,ai_ml_eng_pct
Control,2024-01,113052,1.1,0.2,0.1
Control,2024-04,8849,0.8,0.2,0.2
Control,2026-03,4086,7.1,1.3,0.4
SWE,2024-01,21626,18.2,2.8,14.8
SWE,2024-04,4438,20.6,3.7,12.4
SWE,2026-03,4219,54.8,26.0,29.2
SWE-adjacent,2024-01,6491,10.2,1.5,8.1
SWE-adjacent,2024-04,1397,14.7,3.6,8.4
SWE-adjacent,2026-03,598,39.6,18.7,21.9
