period,seniority_3level_patched,n,pct
2024-01,junior,121,0.6
2024-01,mid,1258,5.8
2024-01,senior,20247,93.6
2024-04,junior,745,16.8
2024-04,mid,207,4.7
2024-04,senior,2601,58.6
2024-04,unknown,885,19.9
2026-03,junior,549,13.0
2026-03,mid,112,2.7
2026-03,senior,3287,77.9
2026-03,unknown,271,6.4
