period,seniority_3level_patched,n,pct
2024-01,junior,407,0.4
2024-01,mid,5562,4.9
2024-01,senior,107090,94.7
2024-04,junior,1604,18.1
2024-04,mid,401,4.5
2024-04,senior,5112,57.8
2024-04,unknown,1732,19.6
2026-03,junior,1702,41.6
2026-03,mid,185,4.5
2026-03,senior,2031,49.7
2026-03,unknown,169,4.1
