occ_group,period,n_known,junior_n,junior_share_pct,mid_n,mid_share_pct,senior_n,senior_share_pct
Control,2024-01,113052,407.0,0.4,5561.0,4.9,107084.0,94.7
Control,2024-04,7117,1604.0,22.5,401.0,5.6,5112.0,71.8
Control,2026-03,3917,1702.0,43.5,185.0,4.7,2030.0,51.8
SWE,2024-01,21626,121.0,0.6,1258.0,5.8,20247.0,93.6
SWE,2024-04,3553,745.0,21.0,207.0,5.8,2601.0,73.2
SWE,2026-03,3948,549.0,13.9,112.0,2.8,3287.0,83.3
SWE-adjacent,2024-01,6491,18.0,0.3,531.0,8.2,5942.0,91.5
SWE-adjacent,2024-04,1223,226.0,18.5,78.0,6.4,919.0,75.1
SWE-adjacent,2026-03,565,117.0,20.7,23.0,4.1,425.0,75.2
