period,seniority_3level_patched,n,pct
2024-01,junior,18,0.3
2024-01,mid,531,8.2
2024-01,senior,5942,91.5
2024-04,junior,226,16.2
2024-04,mid,78,5.6
2024-04,senior,919,65.8
2024-04,unknown,174,12.5
2026-03,junior,117,19.6
2026-03,mid,23,3.8
2026-03,senior,425,71.1
2026-03,unknown,33,5.5
