,J1,J2,J3,J4,J5,J6,J3_rule
J1,1.0,1.0,0.41204819277108434,0.4746987951807229,0.5180722891566265,1.0,0.29397590361445786
J2,0.8848614072494669,1.0,0.4136460554371002,0.47974413646055436,0.4584221748400853,0.8848614072494669,0.3070362473347548
J3,0.10257948410317937,0.11637672465506899,1.0,1.0,0.03839232153569286,0.10257948410317937,0.7006598680263947
J4,0.050812483879288106,0.05803456280629352,0.42997162754707247,1.0,0.021408305390766057,0.050812483879288106,0.3314418364714986
J5,0.9907834101382489,0.9907834101382489,0.29493087557603687,0.3824884792626728,1.0,1.0,0.2119815668202765
J6,0.9952038369304557,0.9952038369304557,0.41007194244604317,0.4724220623501199,0.5203836930455635,1.0,0.29256594724220625
J3_rule,0.06908267270668177,0.08154020385050963,0.6613816534541337,0.7276330690826727,0.026047565118912798,0.06908267270668177,1.0
