uid,source,title,seniority_final,seniority_final_source,yoe_min_years_llm,yoe_extracted,desc_preview
arshkon_3894406051,kaggle_arshkon,Junior Software Engineer,entry,llm,0,4.0,"Peraton is searching for a talented Junior .Net Software Developer to become part of Peraton’s Citizens Security & Public Services, State and Local Regional team supporting a contract with the State of West Virginia.  This position will be located on a client site in Charleston, WV.
Day to Day Work Responsibilities: The Jr. .Net Software Developer will be responsible for the following, but not lim"
arshkon_3895560805,kaggle_arshkon,Associate Software Engineer,entry,llm,0,,"Overview

Cotiviti is a leading solutions and analytics company that leverages unparalleled clinical and financial datasets to deliver deep insight into the performance of the healthcare system. These insights uncover new opportunities for healthcare organizations to collaborate to improve their financial performance, reduce inefficiency, and improve healthcare quality.

The healthcare landscape i"
arshkon_3900067499,kaggle_arshkon,Test Engineer,unknown,llm,0,,"Job description:

Job ID: 109403  The Leonardo DRS Naval Power Systems business is a trusted provider of innovative naval gas and hybrid power systems, control technology and support solutions for the U.S. Navy and navies around the world. Naval Power Systems’ commitment to and investment in our people, products, and customers is the foundation of who we are. We offer a competitive Total Rewards p"
arshkon_3901181485,kaggle_arshkon,Entry Level iOS Developer / training placement,entry,llm,0,1.0,"iOS Development Training & Placement Program/W2
Requirements:〰 Bachelor's/Master’s Degree in Computer Science/Engineering/Information Technology (preferred).〰Basic programming experience in C/C++/OOPS Concept/Java.〰With up to 1year of experience are welcome to apply.〰OPT candidates are encouraged to apply as we offer H1B sponsorship.
What We Offer:Free 7-8 weeks of comprehensive classroom training"
arshkon_3903844065,kaggle_arshkon,Software Engineer (Hybrid),entry,llm,0,,"About Blackhawk Network

Blackhawk Network (BHN) is the leader in global branded payment technologies. We strengthen relationships between brands and their customers, employees, and partners by transforming transactions into connections. BHN’s portfolio includes: Gift Card & eGift products, promotions and distribution that grow revenue faster; Rewards & Incentives that build loyalty and acquisitio"
arshkon_3904716173,kaggle_arshkon,Software Engineer,unknown,llm,0,,"Builds complex, large-scale client applications and large distributed systems that collect, aggregate, transform and distribute data for further analysis. Some roles develop components that run on PCs or mobile devices and collect large volumes of user behavioral data through reverse engineering. More senior roles design, coordinate and implement product development initiatives, provide strategic "
arshkon_3904925555,kaggle_arshkon,Site Reliability Engineer - Federal,unknown,llm,0,,"Company Description

At ServiceNow, our technology makes the world work for everyone, and our people make it possible. We move fast because the world can’t wait, and we innovate in ways no one else can for our customers and communities. By joining ServiceNow, you are part of an ambitious team of change makers who have a restless curiosity and a drive for ingenuity. We know that your best work happ"
arshkon_3905333915,kaggle_arshkon,"Junior Software Engineer, AI",entry,llm,0,,"Company Overview

Conveyor is a cutting-edge software company revolutionizing the way vendor security reviews are conducted. By streamlining the process, we make it fast, frictionless, and accurate for both vendors and customers, ensuring a seamless and secure business environment.

Job Description

We are seeking a passionate Junior Software Engineer with a focus on Artificial Intelligence (AI) t"
arshkon_3905855775,kaggle_arshkon,Entry Level Software Engineer,entry,llm,0,,"Training & Career Opportunity for Entry Level Software Engineer
Are you looking to join an elite team of Software Developers, trained by the best, creating the products and services that transform our world for the better?
The path to a successful technology career can be confusing and unclear. You bring the talent and the motivation, and Smoothstack will provide the training, mentorship, network,"
arshkon_3906224390,kaggle_arshkon,Software Developer,entry,llm,0,2.0,"Description

Leidos is a FORTUNE 500 company bringing a mix of innovative technology and sector expertise to customers in the national security, engineering, and the health industries.

The ISR MEP/PED Systems Division, within the Defense Group at Leidos is seeking Software Developers (entry level) to join our Beavercreek, Ohio - Pentagon Blvd. office. This is an exciting opportunity to use your e"
asaniczka_e1e673e758ba582b,kaggle_asaniczka,Software Engineer (E),unknown,llm,0,5.0,"Base Pay Range: $115,900.00 - $197,000.00
Primary Location: USA-CA-Milpitas-KLA
KLA’s total rewards package for employees may also include participation in performance incentive programs and eligibility for additional benefits identified below. Interns are eligible for some of the benefits identified below. Our pay ranges are determined by role, level, and location. The range displayed above refle"
asaniczka_d398a22e1acd5264,kaggle_asaniczka,Infrastructure Staff Engineer,mid-senior,llm,0,,"Position Summary
We have an exciting opportunity for a motivated, achievement-oriented individual to join our growing team. This is an exciting opportunity for the right candidate to build their career, do challenging and meaningful work, and protect and restore our Nation’s aging infrastructure. Work could include science and engineering concepts in various fields such as wastewater, water resour"
asaniczka_49cfcf6c57d3107a,kaggle_asaniczka,Jr. Java Developer,entry,llm,0,,"Growing Engineering Consulting firm looking to bring on a Jr. Java Developer to their team. Due to legal government contract all viable candidates need to be US Citizens and clearable to get a DOD security clearance.
Duties And Responsibilities
Design software based on provided requirements, and document the design
Design interfaces based on provided requirements, and document the interface design"
asaniczka_68118949051feb75,kaggle_asaniczka,Sr. Software Developer CG323a,mid-senior,llm,0,3.0,"Position: Sr. Software Developer
Location:  MS - Stennis Space Center
Clearance: Active Secret
Our client is looking for a Senior Software Engineer/Developer to join the Navy DSRC team supporting the Department of Defense (DoD) High Performance Computing Modernization Program (DoD HPCMP).  This is a preferred on-site position; however, BAE Systems will consider a virtual position if the candidate "
asaniczka_ac732794ae8005af,kaggle_asaniczka,Robotic Application Engineer,entry,llm,0,,"Application Engineer - Automation focus. Set up cell for automated equipment (robotics). Good understanding of welding. Position is because of growth and record sales for last two years for equipment that is the future of manufacturing.
JOB DESCRIPTION:
Under general supervision, work on assignments involving the origination, design, and development of new robotic systems and products and/or the m"
asaniczka_d03ead1377ecbbe2,kaggle_asaniczka,Northrop Grumman (DoD SkillBridge) Cyber Systems Engineer / Principal Cyber Systems Engineer (TS/SCI Required),mid-senior,llm,0,2.0,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the "
asaniczka_f7d00582a4ba4b5e,kaggle_asaniczka,Associate Systems Engineer,associate,llm,0,,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 115,000 colleagues serve people in more than 160 countries.
Job Title
Associate Systems Engineer
Working at Ab"
asaniczka_8ad7a432a5623fb2,kaggle_asaniczka,Applications Programmer,unknown,llm,0,12.0,"Benefits/Perks
Competitive Compensation
Flexible Scheduling
Career Growth Opportunities
Job Summary
We are seeking a skilled Applications Programmers level 1 - III to join our team. As an Applications Programmer, you will create functional coding solutions for our company. Responsibilities will include collaborating with stakeholders to understand the company's needs and create software solutions "
asaniczka_faded252ed24ad89,kaggle_asaniczka,Software Engineer,entry,llm,0,,"This position is looking for a candidate who is able to work fully onsite and is a US citizen. This position needs someone who is fully vaccinated for COVID and either has a secret clearance or is able to obtain one.
Essential Duties:
Develop understanding of business processes, goals and strategy
Meet with end users (e.g., clients, internal customers, etc.) to identify system requirements, and an"
asaniczka_a32055a6ded86b82,kaggle_asaniczka,Infrastructure Engineer,unknown,llm,0,,"Join Fortuna BMC as an Engineer
Location:
1 Civic Center Plaza, Irvine, CA 92606
Pay Rate:
$40-$45 per hour (based on experience and qualifications)
About Us:
Fortuna BMC is a leading force in providing cutting-edge solutions for mission-critical infrastructure. We specialize in delivering innovative engineering solutions that redefine industry standards and ensure operational excellence.
Role Ove"
